row_index,model,total_chars,devanagari_chars,latin_chars,digits,spaces,devanagari_ratio,latin_ratio,devanagari_share_alphabetic,latin_share_alphabetic,mixed_script,roman_dominant,devanagari_present
0,HingGPT,182.0,0.0,120.0,0.0,49.0,0.0,0.6593406593406593,0.0,1.0,0.0,1.0,0.0
1,HingGPT,128.0,0.0,37.0,3.0,49.0,0.0,0.2890625,0.0,1.0,0.0,1.0,0.0
2,HingGPT,206.0,0.0,150.0,0.0,49.0,0.0,0.7281553398058253,0.0,1.0,0.0,1.0,0.0
3,HingGPT,188.0,0.0,115.0,9.0,49.0,0.0,0.6117021276595744,0.0,1.0,0.0,1.0,0.0
4,HingGPT,188.0,0.0,128.0,0.0,49.0,0.0,0.6808510638297872,0.0,1.0,0.0,1.0,0.0
5,HingGPT,154.0,0.0,69.0,0.0,49.0,0.0,0.44805194805194803,0.0,1.0,0.0,1.0,0.0
6,HingGPT,172.0,0.0,107.0,6.0,49.0,0.0,0.622093023255814,0.0,1.0,0.0,1.0,0.0
7,HingGPT,180.0,0.0,118.0,0.0,49.0,0.0,0.6555555555555556,0.0,1.0,0.0,1.0,0.0
8,HingGPT,159.0,0.0,100.0,0.0,49.0,0.0,0.6289308176100629,0.0,1.0,0.0,1.0,0.0
9,HingGPT,227.0,0.0,169.0,2.0,49.0,0.0,0.7444933920704846,0.0,1.0,0.0,1.0,0.0
10,HingGPT,197.0,0.0,139.0,2.0,49.0,0.0,0.7055837563451777,0.0,1.0,0.0,1.0,0.0
11,HingGPT,142.0,0.0,55.0,0.0,49.0,0.0,0.3873239436619718,0.0,1.0,0.0,1.0,0.0
12,HingGPT,215.0,0.0,162.0,0.0,49.0,0.0,0.7534883720930232,0.0,1.0,0.0,1.0,0.0
13,HingGPT,199.0,0.0,143.0,0.0,49.0,0.0,0.7185929648241206,0.0,1.0,0.0,1.0,0.0
14,HingGPT,214.0,0.0,156.0,0.0,49.0,0.0,0.7289719626168224,0.0,1.0,0.0,1.0,0.0
15,HingGPT,102.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,HingGPT,177.0,0.0,112.0,2.0,49.0,0.0,0.632768361581921,0.0,1.0,0.0,1.0,0.0
17,HingGPT,195.0,0.0,138.0,0.0,49.0,0.0,0.7076923076923077,0.0,1.0,0.0,1.0,0.0
18,HingGPT,137.0,0.0,76.0,0.0,49.0,0.0,0.5547445255474452,0.0,1.0,0.0,1.0,0.0
19,HingGPT,189.0,0.0,116.0,0.0,49.0,0.0,0.6137566137566137,0.0,1.0,0.0,1.0,0.0
20,HingGPT,209.0,0.0,154.0,0.0,49.0,0.0,0.7368421052631579,0.0,1.0,0.0,1.0,0.0
21,HingGPT,162.0,0.0,103.0,0.0,49.0,0.0,0.6358024691358025,0.0,1.0,0.0,1.0,0.0
22,HingGPT,201.0,0.0,146.0,0.0,49.0,0.0,0.7263681592039801,0.0,1.0,0.0,1.0,0.0
23,HingGPT,254.0,0.0,198.0,0.0,49.0,0.0,0.7795275590551181,0.0,1.0,0.0,1.0,0.0
24,HingGPT,180.0,0.0,116.0,2.0,49.0,0.0,0.6444444444444445,0.0,1.0,0.0,1.0,0.0
25,HingGPT,178.0,0.0,111.0,4.0,49.0,0.0,0.6235955056179775,0.0,1.0,0.0,1.0,0.0
26,HingGPT,155.0,0.0,81.0,1.0,49.0,0.0,0.5225806451612903,0.0,1.0,0.0,1.0,0.0
27,HingGPT,163.0,0.0,101.0,0.0,49.0,0.0,0.6196319018404908,0.0,1.0,0.0,1.0,0.0
28,HingGPT,173.0,0.0,113.0,0.0,49.0,0.0,0.653179190751445,0.0,1.0,0.0,1.0,0.0
29,HingGPT,201.0,0.0,141.0,0.0,49.0,0.0,0.7014925373134329,0.0,1.0,0.0,1.0,0.0
30,HingGPT,156.0,0.0,98.0,0.0,49.0,0.0,0.6282051282051282,0.0,1.0,0.0,1.0,0.0
31,HingGPT,173.0,0.0,104.0,4.0,49.0,0.0,0.6011560693641619,0.0,1.0,0.0,1.0,0.0
32,HingGPT,223.0,0.0,168.0,0.0,49.0,0.0,0.7533632286995515,0.0,1.0,0.0,1.0,0.0
33,HingGPT,208.0,0.0,151.0,0.0,49.0,0.0,0.7259615384615384,0.0,1.0,0.0,1.0,0.0
0,Phi-3.5-mini,155.0,0.0,116.0,0.0,32.0,0.0,0.7483870967741936,0.0,1.0,0.0,1.0,0.0
1,Phi-3.5-mini,115.0,0.0,85.0,0.0,23.0,0.0,0.7391304347826086,0.0,1.0,0.0,1.0,0.0
2,Phi-3.5-mini,123.0,0.0,93.0,0.0,25.0,0.0,0.7560975609756098,0.0,1.0,0.0,1.0,0.0
3,Phi-3.5-mini,190.0,0.0,151.0,0.0,30.0,0.0,0.7947368421052632,0.0,1.0,0.0,1.0,0.0
4,Phi-3.5-mini,105.0,0.0,83.0,0.0,19.0,0.0,0.7904761904761904,0.0,1.0,0.0,1.0,0.0
5,Phi-3.5-mini,133.0,0.0,100.0,0.0,20.0,0.0,0.7518796992481203,0.0,1.0,0.0,1.0,0.0
6,Phi-3.5-mini,124.0,0.0,97.0,0.0,16.0,0.0,0.782258064516129,0.0,1.0,0.0,1.0,0.0
7,Phi-3.5-mini,186.0,0.0,150.0,0.0,29.0,0.0,0.8064516129032258,0.0,1.0,0.0,1.0,0.0
