pair_model_1,pair_model_2,sample_id,fluency,code_mixing_naturalness,hindi_grammar,prompt_adherence,spelling_consistency,overall
HingGPT,Phi-3.5-mini,1,T,A,T,B,A,B
HingGPT,Phi-3.5-mini,2,A,B,A,T,B,A
HingGPT,Phi-3.5-mini,3,T,A,T,B,A,B
HingGPT,Phi-3.5-mini,4,B,T,A,B,A,B
HingGPT,Phi-3.5-mini,5,T,A,T,B,A,B
HingGPT,Phi-3.5-mini,6,B,B,B,T,A,T
HingGPT,Phi-3.5-mini,7,A,B,B,T,B,A
HingGPT,Phi-3.5-mini,8,T,A,B,T,B,B
HingGPT,Phi-3.5-mini,9,A,B,A,T,B,A
HingGPT,Phi-3.5-mini,10,A,B,A,T,B,A
HingGPT,Phi-3.5-mini,11,B,T,A,T,T,B
HingGPT,Phi-3.5-mini,12,B,T,A,B,T,B
HingGPT,Phi-3.5-mini,13,A,B,T,B,B,B
HingGPT,Phi-3.5-mini,14,T,A,B,T,B,B
HingGPT,Phi-3.5-mini,15,A,T,B,A,B,B
HingGPT,Phi-3.5-mini,16,B,B,T,T,T,B
HingGPT,Phi-3.5-mini,17,A,B,B,T,T,T
HingGPT,Phi-3.5-mini,18,B,B,B,T,T,T
HingGPT,Phi-3.5-mini,19,B,T,A,T,B,B
HingGPT,Phi-3.5-mini,20,A,B,A,T,B,A
HingGPT,Phi-3.5-mini,21,T,A,T,B,A,B
HingGPT,Phi-3.5-mini,22,B,T,A,B,A,B
HingGPT,Phi-3.5-mini,23,B,B,T,T,T,T
HingGPT,Phi-3.5-mini,24,A,A,B,T,B,B
HingGPT,Phi-3.5-mini,25,T,A,T,B,B,B
HingGPT,Phi-3.5-mini,26,B,A,B,T,T,T
HingGPT,Phi-3.5-mini,27,B,B,T,T,T,T
HingGPT,Phi-3.5-mini,28,B,T,T,T,T,T
HingGPT,Phi-3.5-mini,29,T,A,T,B,A,B
HingGPT,Phi-3.5-mini,30,B,B,T,T,T,B
HingGPT,Phi-3.5-mini,31,T,A,B,T,B,B
HingGPT,Phi-3.5-mini,32,T,A,B,T,B,B
HingGPT,Phi-3.5-mini,33,T,A,T,B,A,B
HingGPT,Phi-3.5-mini,34,T,A,T,B,B,B
HingGPT,Qwen2.5-3B,1,A,B,T,T,T,T
HingGPT,Qwen2.5-3B,2,T,A,B,T,B,B
HingGPT,Qwen2.5-3B,3,T,A,T,B,A,B
HingGPT,Qwen2.5-3B,4,T,T,B,T,B,B
HingGPT,Qwen2.5-3B,5,A,B,B,B,T,B
HingGPT,Qwen2.5-3B,6,A,B,T,B,B,B
HingGPT,Qwen2.5-3B,7,A,B,T,B,T,A
HingGPT,Qwen2.5-3B,8,A,B,T,B,B,B
HingGPT,Qwen2.5-3B,9,A,B,B,T,T,T
HingGPT,Qwen2.5-3B,10,T,A,T,B,A,B
HingGPT,Qwen2.5-3B,11,B,B,T,T,T,B
HingGPT,Qwen2.5-3B,12,A,B,T,B,B,B
HingGPT,Qwen2.5-3B,13,B,A,B,B,T,T
HingGPT,Qwen2.5-3B,14,T,B,A,T,T,A
HingGPT,Qwen2.5-3B,15,A,B,T,T,T,T
HingGPT,Qwen2.5-3B,16,T,B,A,T,A,T
HingGPT,Qwen2.5-3B,17,B,B,T,B,T,A
HingGPT,Qwen2.5-3B,18,A,B,T,B,B,B
HingGPT,Qwen2.5-3B,19,A,B,B,T,B,A
HingGPT,Qwen2.5-3B,20,T,A,B,T,B,B
HingGPT,Qwen2.5-3B,21,T,A,T,B,A,B
HingGPT,Qwen2.5-3B,22,A,A,A,B,B,B
HingGPT,Qwen2.5-3B,23,T,A,A,T,B,T
HingGPT,Qwen2.5-3B,24,T,A,T,B,A,B
HingGPT,Qwen2.5-3B,25,T,T,T,B,B,T
HingGPT,Qwen2.5-3B,26,T,B,A,T,A,T
HingGPT,Qwen2.5-3B,27,A,T,B,A,B,T
HingGPT,Qwen2.5-3B,28,A,B,T,B,B,B
HingGPT,Qwen2.5-3B,29,A,B,T,B,B,B
HingGPT,Qwen2.5-3B,30,B,B,T,T,T,B
HingGPT,Qwen2.5-3B,31,B,T,A,B,T,B
HingGPT,Qwen2.5-3B,32,T,A,B,T,B,B
HingGPT,Qwen2.5-3B,33,A,T,B,A,B,B
HingGPT,Qwen2.5-3B,34,T,A,T,B,A,B
HingGPT,Qwen2.5-7B,1,T,A,T,B,A,B
HingGPT,Qwen2.5-7B,2,A,B,T,B,B,B
HingGPT,Qwen2.5-7B,3,A,T,B,A,B,B
HingGPT,Qwen2.5-7B,4,A,B,T,B,B,A
HingGPT,Qwen2.5-7B,5,T,A,B,T,B,B
HingGPT,Qwen2.5-7B,6,B,T,A,B,A,B
HingGPT,Qwen2.5-7B,7,B,B,T,A,T,B
HingGPT,Qwen2.5-7B,8,T,A,B,T,B,B
HingGPT,Qwen2.5-7B,9,B,A,B,B,T,T
HingGPT,Qwen2.5-7B,10,B,T,A,B,A,A
HingGPT,Qwen2.5-7B,11,A,B,B,T,T,T
