model,error_code,error_category,number_of_errors,total_responses,responses_affected_percent
HingGPT,E1,English-dominant output,0,34,0.0
HingGPT,E2,Hindi-dominant output,0,34,0.0
HingGPT,E3,Unnatural code-switching,0,34,0.0
HingGPT,E4,Grammatical error,0,34,0.0
HingGPT,E5,Repetition,18,34,52.94
HingGPT,E6,Prompt misunderstanding,0,34,0.0
HingGPT,E7,Incomplete response,0,34,0.0
HingGPT,E8,Spelling/transliteration error,0,34,0.0
HingGPT,E9,Hallucination/factual error,0,34,0.0
HingGPT,E10,Irrelevant response,0,34,0.0
Phi-3.5-mini,E1,English-dominant output,0,34,0.0
Phi-3.5-mini,E2,Hindi-dominant output,0,34,0.0
Phi-3.5-mini,E3,Unnatural code-switching,0,34,0.0
Phi-3.5-mini,E4,Grammatical error,0,34,0.0
Phi-3.5-mini,E5,Repetition,0,34,0.0
Phi-3.5-mini,E6,Prompt misunderstanding,0,34,0.0
Phi-3.5-mini,E7,Incomplete response,0,34,0.0
Phi-3.5-mini,E8,Spelling/transliteration error,0,34,0.0
Phi-3.5-mini,E9,Hallucination/factual error,0,34,0.0
Phi-3.5-mini,E10,Irrelevant response,0,34,0.0
Qwen2.5-3B,E1,English-dominant output,0,34,0.0
Qwen2.5-3B,E2,Hindi-dominant output,0,34,0.0
Qwen2.5-3B,E3,Unnatural code-switching,0,34,0.0
Qwen2.5-3B,E4,Grammatical error,0,34,0.0
Qwen2.5-3B,E5,Repetition,1,34,2.94
Qwen2.5-3B,E6,Prompt misunderstanding,0,34,0.0
Qwen2.5-3B,E7,Incomplete response,6,34,17.65
Qwen2.5-3B,E8,Spelling/transliteration error,0,34,0.0
Qwen2.5-3B,E9,Hallucination/factual error,0,34,0.0
Qwen2.5-3B,E10,Irrelevant response,0,34,0.0
Qwen2.5-7B,E1,English-dominant output,0,34,0.0
Qwen2.5-7B,E2,Hindi-dominant output,0,34,0.0
Qwen2.5-7B,E3,Unnatural code-switching,0,34,0.0
Qwen2.5-7B,E4,Grammatical error,0,34,0.0
Qwen2.5-7B,E5,Repetition,0,34,0.0
Qwen2.5-7B,E6,Prompt misunderstanding,0,34,0.0
Qwen2.5-7B,E7,Incomplete response,7,34,20.59
Qwen2.5-7B,E8,Spelling/transliteration error,0,34,0.0
Qwen2.5-7B,E9,Hallucination/factual error,0,34,0.0
Qwen2.5-7B,E10,Irrelevant response,0,34,0.0
