criterion,model_a,model_b,N,model_a_wins,model_b_wins,ties,non_ties,model_a_win_rate_non_ties,model_b_win_rate_non_ties,tie_rate,raw_p,holm_adjusted_p,significant_alpha_0.05
fluency,HingGPT,Phi-3.5-mini,34,14,8,12,22,0.6363636363636364,0.36363636363636365,0.35294117647058826,0.28627872467041016,1.0,False
fluency,HingGPT,Qwen2.5-3B,34,8,12,14,20,0.4,0.6,0.4117647058823529,0.5034446716308594,1.0,False
fluency,HingGPT,Qwen2.5-7B,34,11,15,8,26,0.4230769230769231,0.5769230769230769,0.23529411764705882,0.557197093963623,1.0,False
fluency,Phi-3.5-mini,Qwen2.5-3B,34,13,11,10,24,0.5416666666666666,0.4583333333333333,0.29411764705882354,0.8388197422027588,1.0,False
fluency,Phi-3.5-mini,Qwen2.5-7B,34,11,15,8,26,0.4230769230769231,0.5769230769230769,0.23529411764705882,0.557197093963623,1.0,False
fluency,Qwen2.5-3B,Qwen2.5-7B,34,11,11,12,22,0.5,0.5,0.35294117647058826,1.0,1.0,False
code_mixing_naturalness,HingGPT,Phi-3.5-mini,34,10,17,7,27,0.37037037037037035,0.6296296296296297,0.20588235294117646,0.24778856337070465,1.0,False
code_mixing_naturalness,HingGPT,Qwen2.5-3B,34,9,20,5,29,0.3103448275862069,0.6896551724137931,0.14705882352941177,0.06142834573984146,0.36857007443904877,False
code_mixing_naturalness,HingGPT,Qwen2.5-7B,34,12,9,13,21,0.5714285714285714,0.42857142857142855,0.38235294117647056,0.6636238098144531,1.0,False
code_mixing_naturalness,Phi-3.5-mini,Qwen2.5-3B,34,13,8,13,21,0.6190476190476191,0.38095238095238093,0.38235294117647056,0.38331031799316406,1.0,False
code_mixing_naturalness,Phi-3.5-mini,Qwen2.5-7B,34,7,11,16,18,0.3888888888888889,0.6111111111111112,0.47058823529411764,0.480682373046875,1.0,False
code_mixing_naturalness,Qwen2.5-3B,Qwen2.5-7B,34,12,12,10,24,0.5,0.5,0.29411764705882354,1.0,1.0,False
hindi_grammar,HingGPT,Phi-3.5-mini,34,12,8,14,20,0.6,0.4,0.4117647058823529,0.5034446716308594,1.0,False
hindi_grammar,HingGPT,Qwen2.5-3B,34,9,7,18,16,0.5625,0.4375,0.5294117647058824,0.803619384765625,1.0,False
hindi_grammar,HingGPT,Qwen2.5-7B,34,10,10,14,20,0.5,0.5,0.4117647058823529,1.0,1.0,False
hindi_grammar,Phi-3.5-mini,Qwen2.5-3B,34,5,16,13,21,0.23809523809523808,0.7619047619047619,0.38235294117647056,0.02660369873046875,0.1596221923828125,False
hindi_grammar,Phi-3.5-mini,Qwen2.5-7B,34,15,12,7,27,0.5555555555555556,0.4444444444444444,0.20588235294117646,0.7011080384254456,1.0,False
hindi_grammar,Qwen2.5-3B,Qwen2.5-7B,34,9,12,13,21,0.42857142857142855,0.5714285714285714,0.38235294117647056,0.6636238098144531,1.0,False
prompt_adherence,HingGPT,Phi-3.5-mini,34,9,4,21,13,0.6923076923076923,0.3076923076923077,0.6176470588235294,0.266845703125,1.0,False
prompt_adherence,HingGPT,Qwen2.5-3B,34,11,9,14,20,0.55,0.45,0.4117647058823529,0.8238029479980469,1.0,False
prompt_adherence,HingGPT,Qwen2.5-7B,34,17,6,11,23,0.7391304347826086,0.2608695652173913,0.3235294117647059,0.03468966484069824,0.20813798904418945,False
prompt_adherence,Phi-3.5-mini,Qwen2.5-3B,34,11,7,16,18,0.6111111111111112,0.3888888888888889,0.47058823529411764,0.480682373046875,1.0,False
prompt_adherence,Phi-3.5-mini,Qwen2.5-7B,34,6,11,17,17,0.35294117647058826,0.6470588235294118,0.5,0.332305908203125,1.0,False
prompt_adherence,Qwen2.5-3B,Qwen2.5-7B,34,7,10,17,17,0.4117647058823529,0.5882352941176471,0.5,0.629058837890625,1.0,False
spelling_consistency,HingGPT,Phi-3.5-mini,34,9,15,10,24,0.375,0.625,0.29411764705882354,0.30745625495910645,1.0,False
spelling_consistency,HingGPT,Qwen2.5-3B,34,14,9,11,23,0.6086956521739131,0.391304347826087,0.3235294117647059,0.4048728942871094,1.0,False
spelling_consistency,HingGPT,Qwen2.5-7B,34,9,14,11,23,0.391304347826087,0.6086956521739131,0.3235294117647059,0.4048728942871094,1.0,False
spelling_consistency,Phi-3.5-mini,Qwen2.5-3B,34,13,10,11,23,0.5652173913043478,0.43478260869565216,0.3235294117647059,0.6776394844055176,1.0,False
spelling_consistency,Phi-3.5-mini,Qwen2.5-7B,34,12,13,9,25,0.48,0.52,0.2647058823529412,1.0,1.0,False
spelling_consistency,Qwen2.5-3B,Qwen2.5-7B,34,14,14,6,28,0.5,0.5,0.17647058823529413,1.0,1.0,False
overall,HingGPT,Phi-3.5-mini,34,19,8,7,27,0.7037037037037037,0.2962962962962963,0.20588235294117646,0.052238985896110535,0.3134339153766632,False
overall,HingGPT,Qwen2.5-3B,34,17,8,9,25,0.68,0.32,0.2647058823529412,0.10775214433670044,0.5387607216835022,False
overall,HingGPT,Qwen2.5-7B,34,16,13,5,29,0.5517241379310345,0.4482758620689655,0.14705882352941177,0.711071103811264,1.0,False
overall,Phi-3.5-mini,Qwen2.5-3B,34,13,17,4,30,0.43333333333333335,0.5666666666666667,0.11764705882352941,0.5846647117286922,1.0,False
overall,Phi-3.5-mini,Qwen2.5-7B,34,16,14,4,30,0.5333333333333333,0.4666666666666667,0.11764705882352941,0.8555355519056321,1.0,False
overall,Qwen2.5-3B,Qwen2.5-7B,34,12,12,10,24,0.5,0.5,0.29411764705882354,1.0,1.0,False
