scope,dimension,total_common_rows,mistral_missing,olmo_missing,pairwise_excluded
ALL,fluency,4000,10,1,11
ALL,code_mixing_naturalness,4000,10,1,11
ALL,hindi_grammar,4000,10,1,11
ALL,prompt_adherence,4000,10,1,11
ALL,spelling_consistency,4000,10,1,11
ALL,overall,4000,10,1,11
HingGPT,fluency,1000,5,0,5
HingGPT,code_mixing_naturalness,1000,5,0,5
HingGPT,hindi_grammar,1000,5,0,5
HingGPT,prompt_adherence,1000,5,0,5
HingGPT,spelling_consistency,1000,5,0,5
HingGPT,overall,1000,5,0,5
Phi-3.5-mini,fluency,1000,0,0,0
Phi-3.5-mini,code_mixing_naturalness,1000,0,0,0
Phi-3.5-mini,hindi_grammar,1000,0,0,0
Phi-3.5-mini,prompt_adherence,1000,0,0,0
Phi-3.5-mini,spelling_consistency,1000,0,0,0
Phi-3.5-mini,overall,1000,0,0,0
Qwen2.5-3B,fluency,1000,5,1,6
Qwen2.5-3B,code_mixing_naturalness,1000,5,1,6
Qwen2.5-3B,hindi_grammar,1000,5,1,6
Qwen2.5-3B,prompt_adherence,1000,5,1,6
Qwen2.5-3B,spelling_consistency,1000,5,1,6
Qwen2.5-3B,overall,1000,5,1,6
Qwen2.5-7B,fluency,1000,0,0,0
Qwen2.5-7B,code_mixing_naturalness,1000,0,0,0
Qwen2.5-7B,hindi_grammar,1000,0,0,0
Qwen2.5-7B,prompt_adherence,1000,0,0,0
Qwen2.5-7B,spelling_consistency,1000,0,0,0
Qwen2.5-7B,overall,1000,0,0,0
