model,sample_id,category,prompt,response,fluency,code_mixing_naturalness,hindi_grammar,prompt_adherence,spelling_consistency,overall,judge_raw_output
HingGPT,1,casual_chat,"A friend asks you: 'What did you do this weekend?' Respond in natural Hinglish, like you are chatting with a close friend.","I think it ' s a pretty easy to hone your communication skills , and practice that when you ' re down the road , you know that you don ' t have to work on something very specific . You can read what you need to learn from others . - John Len non mujhe bhi ye sab nhi aata but maine toh apne college friends se hi share kiya h 😅 ✌ ( also me and my freind s ) but vo log to khud ko hi ni jaante 😔 ✌ 😅 😃 😅 😄 😁 😅 🤭 😅 🤪 😂 😅😂 😅 😅 😅 😅 😅 😅 😝 🤣 😅 🤣😂 😆 😅 😆 😅 😛 😝 😂🤣 😅😅 😁 😅 🤣😂 😅 😅 😉",,,,,,,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
0
    ""prompt_adherence"": 1,
    ""spelling_consistency"": 1,
    ""overall"": 1
}









































































































"
HingGPT,2,casual_chat,Your friend is stressed about an upcoming exam. Cheer them up with a message in Hinglish.,"He ' s like : Kya hua ? Mujhe kuch nahi pata . I am like : Bas kar yaar ab . Ye kya ho raha hai bhai ? Why are you so worried ? And why are you not letting me talk to you ? It ' s okay . You can be my friend , you don ' t have to be the only one ! Please . That ' s all you need . You can do ! And I promise . You ' ll be the last person to love me . You ' re my everything . And I ' m happy to live here . Happy birthday . 😘 💙 💜 💙 💛 💙 💜 💙 💙 💙 💜 💙 💜 💙",2.0,2.0,2.0,3.0,2.0,2.0,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 3,
    ""spelling_consistency"": 2,
    ""overall"": 2
}
Stay tuned for the next task. {
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 3,
    ""spelling_consistency"": 2,
    ""overall"": 2
}
Please note that the scores are subjective and based on the limited context provided. A more detailed analysis might yield different"
HingGPT,3,casual_chat,Tell your friend about a funny incident that happened to you on the bus today. Respond in Hinglish.,"What are your thoughts on this issue ? I can understand . But if you have any doubts , please ask your wife to share her contact details . Thanks . Jai Hind 🇮🇳 . Jai Bharat 🇮🇳 . 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 . 🇮🇳 🙏 🇮🇳 . 🇮🇳 . 🇳 🇪 🙏 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 . 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳",,,,,,,🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳
HingGPT,4,casual_chat,"Your friend is planning to buy a new phone and asks your opinion: iPhone ya Samsung, kya lena chahiye? Respond in Hinglish.",😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 ! 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂,,,,,,,😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 
HingGPT,5,casual_chat,Reply to a friend who just told you they got engaged. Respond in Hinglish.,"For example , I was on the verge of a relationship with my friends and I said we are all going to see how much people want to meet . Like no one else will ever know about me . How do you feel about your emotions ? You ' re not alone ... But as long as there is something you enjoy , you will be fine soon , it ' s okay . We are not talking about yourself , it ' s ok . Take care of yourself . 😊 😊 😇 😊 🤗 😊 🤗 😊 😊 ☺ 🙏 😊😊 🤗 😊 😊 😊🙏 😊 🤗 😊 😊 👍 😊🙏 😊😊 😊😊 🙏🙏 👍👍 👍👍👍 👍👍👍 🙏🙏🙏 👍👍👍 🙏🙏 😊😊 🙏🙏 😊😊 😊😊😊 😀😀😀",2.0,2.0,2.0,2.0,2.0,2.0,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 2,
    ""spelling_consistency"": 2,
    ""overall"": 2
}
"
HingGPT,6,social_media,Write an Instagram caption for a photo of you eating street food (chaat) with friends in Delhi. Use Hinglish.,"Then check the ground reality . It ' s not about Hindus , it ' s about politics and politics . This is what India has learnt from this . If we think that way , we have to be careful about it . And it ' s a big question . I think its all about democracy . So if we think that ' s true then it is not possible . We need to do something on our own . We don ' t want to go on a serious note . We must support Modiji . We know he will save us . We are also not like Modi ji . We are not afraid of his actions . We have to stand by him",2.0,2.0,2.0,1.0,2.0,2.0,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 1,
    ""spelling_consistency"": 2,
    ""overall"": 2
}


EXPLANATION:

- ""fluency"" and ""hindi_grammar"" scores are lower due to awkward phrasing and some grammatical errors.

- ""code_mixing_naturalness"" is rated lower because the response jumps from discussing politics to supporting a political figure without a smooth transition, which is not typical for a casual Instagram caption about street food.

- ""prompt_adherence"" is rated low because the response"
HingGPT,7,social_media,Write a Twitter/X post complaining about Mumbai local train rush during monsoon. Use Hinglish.,"Its the same thing that happened to T ir up ati , C ot ton , S pain , C raw ley , F lo yd etc . Its all good for UP as well as this city and I guess it will be good for people in future . You ' re a mere shell of a man who knows how to play . The one you can ' t blame is not enough . It ' s high time he should change his mind . We have to do our best to take strong action against these goons . We are with you . Don ' t let these kind of fake farmers become heroes . Jai Hind 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🕉 🙏 🇮🇳🙏 🕉",2.0,2.0,2.0,3.0,2.0,2.0,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 3,
    ""spelling_consistency"": 2,
    ""overall"": 2
}
Stating the scores as integers between 1 and 5 based on the given criteria and the model response. The response shows some attempt at mixing Hinglish and English, but there are issues with fluency, grammar, and spelling consistency. The adherence to the prompt is somewhat present, but overall quality is lacking. {
    ""fluency"": 1,
    ""code_mixing_naturalness"": 1,
    ""hindi_grammar"": 1,"
HingGPT,8,social_media,Write a Facebook status celebrating India winning a cricket match. Use Hinglish.,Watch the video and see if it ' s true . He is very kind hearted person . He has genuine feelings for people like you . But we will never get into this trap . Aise logo ko kadi se kadi saja milni chahiye . Jai Hind 🇮🇳 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🇮🇳,,,,,,,�� 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 ������
HingGPT,9,social_media,Write an Instagram story text announcing a new YouTube video about '5 easy desi breakfast ideas'. Use Hinglish.,"Learn Neela Ja doo . A va il . A va il . A va il . A va il . A va il . A va il . No one can come close to you . So , be it ! Watch . Only on A wa il . O re o mo neela o ba ka bo . O e kana . I no w / o any of the above . My o card number . And the list is endless . I ' ll check out my old e - mail . P interest it . I ' m not even sure if I ' ve ever seen it . ( 2 / 2 ) ye kaise ho sakta h ? is this how",2.0,2.0,2.0,2.0,2.0,2.0,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 2,
    ""spelling_consistency"": 2,
    ""overall"": 2
}
"
HingGPT,10,social_media,"Write a LinkedIn-style post about work-life balance, but in conversational Hinglish.","That ' s the problem . If you have to work on your own work , it ' ll help you hone your skills . Learn more about the work you do . You can focus on the process at a time when you are working on the right direction . You can do it ! A lot of things will change for you , you can do it . I ' m sure . :-) bhai aaj ka match india ko hi dekh lena . 👍 💪 🇮🇳 🔥 🙏 🕉 🙏 🇮🇳 🚩 🙏 🚩🚩 🚩 🕉 🙏 🙏 🇮🇳🙏 jai hind 🇮🇳 🕉 🙏 🇮🇳 🇮🇳 🇮🇳 🚩 🇮🇳 🇮🇳 💐🙏 💐 🇮🇳 🙏 🇮🇳 🙏🏻 🇮🇳 🙏 🇮🇳 🚩 🇮🇳 🙏 🇮🇳 🇮🇳 🕉",2.0,2.0,2.0,2.0,2.0,2.0,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 2,
    ""spelling_consistency"": 2,
    ""overall"": 2
}
"
HingGPT,11,product_review,Write a 4-star Amazon-style review of a budget smartphone you just bought. Use Hinglish.,"Buy the product : The only way to open these Cha kra s is by getting the mantras of these De ities from a Complete Saint . This is what Jagat Guru Rampal Ji Maharaj gives to his devotees . Take initiation from him . Visit Ashram YouTube Channel for more information . . i am with you and your family , sir . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",2.0,1.0,1.0,2.0,1.0,1.0,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 1,
    ""hindi_grammar"": 1,
    ""prompt_adherence"": 2,
    ""spelling_consistency"": 1,
    ""overall"": 1
}
(Note: The response provided does not adhere to the prompt, lacks fluency, and has issues with code mixing, grammar, and spelling consistency. The overall quality is poor.) {
    ""fluency"": 1,
    ""code_mixing_naturalness"": 1,
    ""hindi_grammar"": 1,
    ""prompt_adherence"": 1,
    ""spelling_consistency"": 1,
    """
HingGPT,12,product_review,Write a negative review of a food delivery app whose order arrived cold and late. Use Hinglish.,"If you are ready to go back to the gym , it ' s not just me . It ' s a mere product of a kind of self - help exercise . You can ' t do anything for your own sake . In fact , the person who does that is doing something so that they can use it as an excuse . I don ' t care about what people say or what people say . This is absolutely how you know . And if they say , this is how you talk about the people who dont care . Your point is , there is no difference between them being a fan and a fan . This is my opinion . The fans are",2.0,2.0,2.0,3.0,2.0,2.0,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 3,
    ""spelling_consistency"": 2,
    ""overall"": 2
}
"
HingGPT,13,product_review,Write a glowing review of a saree you bought online for your mother. Use Hinglish.,"You ' re not getting the attention you need to be in your house . If you want to be successful , you should just stick to it . It is what it means . In other words , we don ' t want to see you going . I am not interested to know you . If there ' s anything to do with this , please DM me . I will give you a chance . Thank you . 🙏 🥺 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏",,,,,,,"{
    ""fluency"": 1,
    ""code_mixing_naturalness"": 1,
    ""hindi_grammar"": 1,
0,
    ""prompt_adherence"": 1,
    ""spelling_consistency"": 1,
    ""overall"": 1
}


Note: The scores are all 1 due to the lack of fluency, natural code mixing, correct Hindi grammar, adherence to the prompt, and consistent spelling in the provided response. The response does not fulfill the task of writing a glowing review in Hinglish. {
    ""fluency"": 1,
    ""code_mixing_naturalness"": 1,
    ""hindi_grammar"": 1,
    """
