row_index,model,fluency_original,code_mixing_naturalness_original,hindi_grammar_original,prompt_adherence_original,spelling_consistency_original,overall_original,fluency_perturbed,code_mixing_naturalness_perturbed,hindi_grammar_perturbed,prompt_adherence_perturbed,spelling_consistency_perturbed,overall_perturbed
0,HingGPT,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
0,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,Qwen2.5-3B,4.0,4.0,3.0,5.0,5.0,4.0,3.0,2.0,1.0,4.0,5.0,3.0
0,Qwen2.5-7B,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0
1,HingGPT,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0
1,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,5.0,4.0
1,Qwen2.5-3B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Qwen2.5-7B,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,3.0,5.0,3.0
2,HingGPT,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,Qwen2.5-3B,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0
2,Qwen2.5-7B,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
3,HingGPT,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0
3,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0
3,Qwen2.5-3B,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0
3,Qwen2.5-7B,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,1.0,5.0,5.0,4.0
4,HingGPT,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
4,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0
4,Qwen2.5-3B,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,2.0,4.0,3.0,3.0
4,Qwen2.5-7B,3.0,4.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
5,HingGPT,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0
5,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0
5,Qwen2.5-3B,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0
5,Qwen2.5-7B,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0
6,HingGPT,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0
6,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0
6,Qwen2.5-3B,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
6,Qwen2.5-7B,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0
7,HingGPT,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
7,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,5.0,4.0
7,Qwen2.5-3B,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0
7,Qwen2.5-7B,3.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
8,HingGPT,2.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0
8,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,5.0,4.0
8,Qwen2.5-3B,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0
8,Qwen2.5-7B,3.0,2.0,2.0,1.0,5.0,2.0,2.0,3.0,1.0,2.0,5.0,2.0
9,HingGPT,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0
9,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0
9,Qwen2.5-3B,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0
9,Qwen2.5-7B,3.0,4.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0
10,HingGPT,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0
10,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0
10,Qwen2.5-3B,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
10,Qwen2.5-7B,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0
11,HingGPT,3.0,2.0,2.0,1.0,5.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0
11,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
11,Qwen2.5-3B,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0
11,Qwen2.5-7B,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0
12,HingGPT,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0
12,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,5.0,3.0
12,Qwen2.5-3B,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0
12,Qwen2.5-7B,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
13,HingGPT,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
13,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0
13,Qwen2.5-3B,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0
13,Qwen2.5-7B,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
14,HingGPT,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
