model,id,category,category_name,prompt,expected_style,generated_text
qwen25_3b,casual_chat_001,casual_chat,Casual Conversation,"A friend asks you: 'What did you do this weekend?' Respond in natural Hinglish, like you are chatting with a close friend.","Warm, informal, heavy code-mixing with Hindi function words and English content words.","The more real your response is, the better! So good luck and be yourself! 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊"
qwen25_3b,casual_chat_002,casual_chat,Casual Conversation,Your friend is stressed about an upcoming exam. Cheer them up with a message in Hinglish.,"Empathetic, encouraging, conversational code-mixing.",Mere ko apne exams se jyada stress nahi hota 😅😅. But you are going through it. So keep calm and pass the exam. 🙏🏻🙏🏻🙌🏻🙌🏻👏🏻👏🏻🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗
qwen25_3b,casual_chat_003,casual_chat,Casual Conversation,Tell your friend about a funny incident that happened to you on the bus today. Respond in Hinglish.,"Animated, narrative, natural code-mixing.",😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
qwen25_3b,casual_chat_004,casual_chat,Casual Conversation,"Your friend is planning to buy a new phone and asks your opinion: iPhone ya Samsung, kya lena chahiye? Respond in Hinglish.","Opinionated but friendly, typical mixed conversational register.",
qwen25_3b,casual_chat_005,casual_chat,Casual Conversation,Reply to a friend who just told you they got engaged. Respond in Hinglish.,"Excited, celebratory, natural code-mixing.",1) Yaad gaya kya? (did you do anything?) 2) Abhi nahi hoga 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
qwen25_3b,social_media_001,social_media,Social Media Posts,Write an Instagram caption for a photo of you eating street food (chaat) with friends in Delhi. Use Hinglish.,"Short, punchy, hashtag-friendly, playful code-mixing.",It should be at least 100 words. 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
qwen25_3b,social_media_002,social_media,Social Media Posts,Write a Twitter/X post complaining about Mumbai local train rush during monsoon. Use Hinglish.,"Relatable, humorous complaint, viral-style brevity with code-mixing.","Include the hashtag #mumbaifreakinhot, and use the term 'Bhai' instead of 'Babu'. Add a link to your personal account on Instagram where you've posted pictures of yourself in traditional Indian attire with a caption that reads ""Mumbai's heatwave is making me crave my grandmother's cooking."" Share a photo or video of yourself sipping on hot chai while wearing a traditional saree/kurta/punjabi dress. Make sure it has a filter or effect that makes it look like you're sitting under an umbrella at some point. Use hashtags such as #mumbaitravels, #"
qwen25_3b,social_media_003,social_media,Social Media Posts,Write a Facebook status celebrating India winning a cricket match. Use Hinglish.,"Festive, emotional, with typical mixed-language celebration phrases.","If you can't, I'll write it for you 😂😂😂. Do not use the hashtag #bharatvictorious 🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥"
qwen25_3b,social_media_004,social_media,Social Media Posts,Write an Instagram story text announcing a new YouTube video about '5 easy desi breakfast ideas'. Use Hinglish.,"Promotional but casual, with code-mixed hooks and emoji-friendly phrasing.",Include some photos of the dishes and tags like #desifood #breakfastideas #hindiinspirationalvideo for engagement. 100k views within 24 hours with 100k shares! #amitabhbacharaguy 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
qwen25_3b,social_media_005,social_media,Social Media Posts,"Write a LinkedIn-style post about work-life balance, but in conversational Hinglish.","Professional-ish content delivered in a relaxed, mixed Indian register.",Also add some emojis! 😊🙏🏼❤️♂️♀️😃🤣😂😋😉😊👍🏼👌🏼✔🔥💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯
