category,category_name,model,E6_prompt_misunderstanding_rate,E10_irrelevant_response_rate,E6_prompt_misunderstanding_count,E10_irrelevant_response_count
advice_opinion,Advice & Opinions,HingGPT,0.6,0.8,3.0,4.0
advice_opinion,Advice & Opinions,Phi-3.5-mini,0.0,0.0,0.0,0.0
advice_opinion,Advice & Opinions,Qwen2.5-3B,0.0,0.0,0.0,0.0
advice_opinion,Advice & Opinions,Qwen2.5-7B,0.0,0.0,0.0,0.0
captions_quips,Captions & One-liners,HingGPT,0.0,0.5,0.0,2.0
captions_quips,Captions & One-liners,Phi-3.5-mini,0.0,0.0,0.0,0.0
captions_quips,Captions & One-liners,Qwen2.5-3B,0.0,0.25,0.0,1.0
captions_quips,Captions & One-liners,Qwen2.5-7B,0.0,0.25,0.0,1.0
casual_chat,Casual Conversation,HingGPT,0.4,0.8,2.0,4.0
casual_chat,Casual Conversation,Phi-3.5-mini,0.0,0.0,0.0,0.0
casual_chat,Casual Conversation,Qwen2.5-3B,0.0,0.25,0.0,1.0
casual_chat,Casual Conversation,Qwen2.5-7B,0.0,0.2,0.0,1.0
customer_support,Customer Support Dialogues,HingGPT,0.5,0.5,1.0,1.0
customer_support,Customer Support Dialogues,Phi-3.5-mini,0.0,0.0,0.0,0.0
customer_support,Customer Support Dialogues,Qwen2.5-3B,0.0,0.0,0.0,0.0
customer_support,Customer Support Dialogues,Qwen2.5-7B,0.0,0.0,0.0,0.0
news_explainer,News & Explainers,HingGPT,0.0,1.0,0.0,4.0
news_explainer,News & Explainers,Phi-3.5-mini,0.0,0.0,0.0,0.0
news_explainer,News & Explainers,Qwen2.5-3B,0.0,0.0,0.0,0.0
news_explainer,News & Explainers,Qwen2.5-7B,0.0,0.0,0.0,0.0
product_review,Product Reviews,HingGPT,0.6666666666666666,0.6666666666666666,2.0,2.0
product_review,Product Reviews,Phi-3.5-mini,0.0,0.0,0.0,0.0
product_review,Product Reviews,Qwen2.5-3B,0.25,0.5,1.0,2.0
product_review,Product Reviews,Qwen2.5-7B,0.3333333333333333,0.3333333333333333,1.0,1.0
social_media,Social Media Posts,HingGPT,0.0,0.3333333333333333,0.0,1.0
social_media,Social Media Posts,Phi-3.5-mini,0.0,0.0,0.0,0.0
social_media,Social Media Posts,Qwen2.5-3B,0.2,0.2,1.0,1.0
social_media,Social Media Posts,Qwen2.5-7B,0.0,0.2,0.0,1.0
storytelling,Storytelling,HingGPT,1.0,1.0,1.0,1.0
storytelling,Storytelling,Phi-3.5-mini,0.0,0.0,0.0,0.0
storytelling,Storytelling,Qwen2.5-3B,0.25,0.25,1.0,1.0
storytelling,Storytelling,Qwen2.5-7B,0.0,0.0,0.0,0.0
