model,sample,category,prompt,response,Automatic_Screening_Reference,E1_English_dominant,E2_Hindi_dominant,E3_Unnatural_code_switching,E4_Grammatical_error,E5_Repetition,E6_Prompt_misunderstanding,E7_Incomplete_response,E8_Spelling_transliteration_error,E9_Hallucination_factual_error,E10_Irrelevant_response,Final_Error_Category,Manual_Notes,Review_Status
HingGPT,1,casual_chat,"A friend asks you: 'What did you do this weekend?' Respond in natural Hinglish, like you are chatting with a close friend.","I think it ' s a pretty easy to hone your communication skills , and practice that when you ' re down the road , you know that you don ' t have to work on something very specific . You can read what you need to learn from others . - John Len non mujhe bhi ye sab nhi aata but maine toh apne college friends se hi share kiya h 😅 ✌ ( also me and my freind s ) but vo log to khud ko hi ni jaante 😔 ✌ 😅 😃 😅 😄 😁 😅 🤭 😅 🤪 😂 😅😂 😅 😅 😅 😅 😅 😅 😝 🤣 😅 🤣😂 😆 😅 😆 😅 😛 😝 😂🤣 😅😅 😁 😅 🤣😂 😅 😅 😉",NONE,0,0,1,1,1,1,0,1,0,1,"E3,E4,E5,E6,E8,E10","Unnatural code-switching, grammatical errors, repetition, prompt misunderstanding, spelling/transliteration errors, and irrelevant content.",REVIEWED
HingGPT,2,casual_chat,Your friend is stressed about an upcoming exam. Cheer them up with a message in Hinglish.,"He ' s like : Kya hua ? Mujhe kuch nahi pata . I am like : Bas kar yaar ab . Ye kya ho raha hai bhai ? Why are you so worried ? And why are you not letting me talk to you ? It ' s okay . You can be my friend , you don ' t have to be the only one ! Please . That ' s all you need . You can do ! And I promise . You ' ll be the last person to love me . You ' re my everything . And I ' m happy to live here . Happy birthday . 😘 💙 💜 💙 💛 💙 💜 💙 💙 💙 💜 💙 💜 💙",NONE,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10",English-heavy and unnatural code-switching; grammatical/awkward sentences; repeated emojis; does not properly address the exam-stress prompt; contains irrelevant birthday/relationship content.,REVIEWED
HingGPT,3,casual_chat,Tell your friend about a funny incident that happened to you on the bus today. Respond in Hinglish.,"What are your thoughts on this issue ? I can understand . But if you have any doubts , please ask your wife to share her contact details . Thanks . Jai Hind 🇮🇳 . Jai Bharat 🇮🇳 . 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 . 🇮🇳 🙏 🇮🇳 . 🇮🇳 . 🇳 🇪 🙏 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 . 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳",E5,0,0,0,0,1,1,0,0,0,1,"E5,E6,E10",Massive repetition of emojis; response does not address the requested funny bus incident and contains unrelated content.,REVIEWED
HingGPT,4,casual_chat,"Your friend is planning to buy a new phone and asks your opinion: iPhone ya Samsung, kya lena chahiye? Respond in Hinglish.",😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 ! 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂,E5,0,0,0,0,1,1,0,0,0,1,"E5,E6,E10",Massive repetition of the same emoji; does not answer the iPhone versus Samsung question; response is irrelevant to the prompt.,REVIEWED
HingGPT,5,casual_chat,Reply to a friend who just told you they got engaged. Respond in Hinglish.,"For example , I was on the verge of a relationship with my friends and I said we are all going to see how much people want to meet . Like no one else will ever know about me . How do you feel about your emotions ? You ' re not alone ... But as long as there is something you enjoy , you will be fine soon , it ' s okay . We are not talking about yourself , it ' s ok . Take care of yourself . 😊 😊 😇 😊 🤗 😊 🤗 😊 😊 ☺ 🙏 😊😊 🤗 😊 😊 😊🙏 😊 🤗 😊 😊 👍 😊🙏 😊😊 😊😊 🙏🙏 👍👍 👍👍👍 👍👍👍 🙏🙏🙏 👍👍👍 🙏🙏 😊😊 🙏🙏 😊😊 😊😊😊 😀😀😀",E5,0,0,0,0,1,1,0,0,0,1,"E5,E6,E10",Excessive repetition of emojis; does not respond appropriately to the engagement announcement; contains unrelated and off-topic content.,REVIEWED
HingGPT,6,social_media,Write an Instagram caption for a photo of you eating street food (chaat) with friends in Delhi. Use Hinglish.,"Then check the ground reality . It ' s not about Hindus , it ' s about politics and politics . This is what India has learnt from this . If we think that way , we have to be careful about it . And it ' s a big question . I think its all about democracy . So if we think that ' s true then it is not possible . We need to do something on our own . We don ' t want to go on a serious note . We must support Modiji . We know he will save us . We are also not like Modi ji . We are not afraid of his actions . We have to stand by him",NONE,1,0,0,0,0,1,0,0,0,1,"E1,E6,E10","The response is predominantly English, does not follow the requested Hinglish Instagram-caption format, and is unrelated to the street-food photo prompt.",REVIEWED
HingGPT,7,social_media,Write a Twitter/X post complaining about Mumbai local train rush during monsoon. Use Hinglish.,"Its the same thing that happened to T ir up ati , C ot ton , S pain , C raw ley , F lo yd etc . Its all good for UP as well as this city and I guess it will be good for people in future . You ' re a mere shell of a man who knows how to play . The one you can ' t blame is not enough . It ' s high time he should change his mind . We have to do our best to take strong action against these goons . We are with you . Don ' t let these kind of fake farmers become heroes . Jai Hind 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🕉 🙏 🇮🇳🙏 🕉",NONE,1,0,1,1,0,1,0,1,0,1,"E1,E3,E4,E6,E8,E10","The response is predominantly English, contains unnatural language mixing and grammatical/awkward constructions, has visibly corrupted spelling/tokenization, does not address the requested Mumbai local-train monsoon complaint, and contains unrelated content.",REVIEWED
HingGPT,8,social_media,Write a Facebook status celebrating India winning a cricket match. Use Hinglish.,Watch the video and see if it ' s true . He is very kind hearted person . He has genuine feelings for people like you . But we will never get into this trap . Aise logo ko kadi se kadi saja milni chahiye . Jai Hind 🇮🇳 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🇮🇳,E5,1,0,1,0,1,1,0,0,0,1,"E1,E3,E5,E6,E10","The response is predominantly English, uses unnatural code-mixing, contains massive repetition of emojis, does not celebrate India's cricket match win as requested, and is largely unrelated to the prompt.",REVIEWED
HingGPT,9,social_media,Write an Instagram story text announcing a new YouTube video about '5 easy desi breakfast ideas'. Use Hinglish.,"Learn Neela Ja doo . A va il . A va il . A va il . A va il . A va il . A va il . No one can come close to you . So , be it ! Watch . Only on A wa il . O re o mo neela o ba ka bo . O e kana . I no w / o any of the above . My o card number . And the list is endless . I ' ll check out my old e - mail . P interest it . I ' m not even sure if I ' ve ever seen it . ( 2 / 2 ) ye kaise ho sakta h ? is this how",NONE,0,0,1,1,0,1,0,1,0,1,"E3,E4,E6,E8,E10","The response does not address the requested YouTube video announcement, contains unnatural code-switching and grammatical errors, has severely corrupted spelling/tokenization, and includes unrelated content.",REVIEWED
HingGPT,10,social_media,"Write a LinkedIn-style post about work-life balance, but in conversational Hinglish.","That ' s the problem . If you have to work on your own work , it ' ll help you hone your skills . Learn more about the work you do . You can focus on the process at a time when you are working on the right direction . You can do it ! A lot of things will change for you , you can do it . I ' m sure . :-) bhai aaj ka match india ko hi dekh lena . 👍 💪 🇮🇳 🔥 🙏 🕉 🙏 🇮🇳 🚩 🙏 🚩🚩 🚩 🕉 🙏 🙏 🇮🇳🙏 jai hind 🇮🇳 🕉 🙏 🇮🇳 🇮🇳 🇮🇳 🚩 🇮🇳 🇮🇳 💐🙏 💐 🇮🇳 🙏 🇮🇳 🙏🏻 🇮🇳 🙏 🇮🇳 🚩 🇮🇳 🙏 🇮🇳 🇮🇳 🕉",E5,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10","The response is English-dominant, contains unnatural code-switching and awkward grammatical constructions, includes heavy repetition of motivational phrases and emojis, does not follow the requested conversational Hinglish work-life-balance format, and contains unrelated cricket/religious content.",REVIEWED
