model,dimension,valid_count,mean,score_1_or_2_count,score_1_or_2_rate
HingGPT,fluency,28,2.857142857142857,9,0.32142857142857145
HingGPT,code_mixing_naturalness,28,3.7142857142857144,0,0.0
HingGPT,hindi_grammar,28,2.1785714285714284,20,0.7142857142857143
HingGPT,prompt_adherence,28,1.9642857142857142,19,0.6785714285714286
HingGPT,spelling_consistency,28,2.9285714285714284,4,0.14285714285714285
HingGPT,overall,28,2.4642857142857144,17,0.6071428571428571
Phi-3.5-mini,fluency,34,4.0,0,0.0
Phi-3.5-mini,code_mixing_naturalness,34,4.029411764705882,0,0.0
Phi-3.5-mini,hindi_grammar,34,3.0294117647058822,0,0.0
Phi-3.5-mini,prompt_adherence,34,4.323529411764706,0,0.0
Phi-3.5-mini,spelling_consistency,34,3.911764705882353,0,0.0
Phi-3.5-mini,overall,34,3.911764705882353,0,0.0
Qwen2.5-3B,fluency,33,3.8484848484848486,1,0.030303030303030304
Qwen2.5-3B,code_mixing_naturalness,33,4.03030303030303,0,0.0
Qwen2.5-3B,hindi_grammar,33,2.878787878787879,3,0.09090909090909091
Qwen2.5-3B,prompt_adherence,33,3.5454545454545454,7,0.21212121212121213
Qwen2.5-3B,spelling_consistency,33,3.9393939393939394,0,0.0
Qwen2.5-3B,overall,33,3.696969696969697,3,0.09090909090909091
Qwen2.5-7B,fluency,34,4.0,0,0.0
Qwen2.5-7B,code_mixing_naturalness,34,4.0588235294117645,0,0.0
Qwen2.5-7B,hindi_grammar,34,3.088235294117647,0,0.0
Qwen2.5-7B,prompt_adherence,34,3.9705882352941178,3,0.08823529411764706
Qwen2.5-7B,spelling_consistency,34,3.9705882352941178,0,0.0
Qwen2.5-7B,overall,34,3.8823529411764706,0,0.0
