id,category,category_name,prompt,expected_style,language,split,response
casual_chat_001,casual_chat,Casual Conversation,"A friend asks you: 'What did you do this weekend?' Respond in natural Hinglish, like you are chatting with a close friend.","Warm, informal, heavy code-mixing with Hindi function words and English content words.",hinglish,test,🙂 ____________________ *squeeze eyes* Tumhari galiye bhi karegi tujhe sambhalo ke liya tha? Kuch na nahi hoon to tumne aur muje dil mein pe hua hai... Aur apni ko tarah dikha raho uske baad main pata nikal denge.. Mujhy sabko lagti huwa jab takar tere jaise se acche din wala hi krta hotay hun....Aapki karan ne dekhti ki jo m
casual_chat_002,casual_chat,Casual Conversation,Your friend is stressed about an upcoming exam. Cheer them up with a message in Hinglish.,"Empathetic, encouraging, conversational code-mixing.",hinglish,test,"🙂 (10/5) Kya bhi nahi pata toh ab choti kisi ko bolte hain na? Ab uske baad me dikha do! Dil pe nikalne kaise ho rahega wo apni karan se, or mere saath galtane ke liye tujhe saheli hee..❤️ Jab tak lgta hoga muje tere sone ki sochi...aaj tum log mai thodi utha dekh rukay aur humari desh me jaante the!! T"
casual_chat_003,casual_chat,Casual Conversation,Tell your friend about a funny incident that happened to you on the bus today. Respond in Hinglish.,"Animated, narrative, natural code-mixing.",hinglish,test,"😂 Aaj ek hi bhi bolta hai hum log ke baad apne time mein kab tak unko tension laga raha hoga, aur yeh mera phone kaise karte ho jao? Hum jo uska wala telephone se padhega tha... tum jaan chahie mai ko pyaar nikal doge mujhe ki phir din nahi dekhta.. Koi shukr neend peeche he but it's not working for him so just ignore.... But don't worry ab tu"
casual_chat_004,casual_chat,Casual Conversation,"Your friend is planning to buy a new phone and asks your opinion: iPhone ya Samsung, kya lena chahiye? Respond in Hinglish.","Opinionated but friendly, typical mixed conversational register.",hinglish,test,The conversation will be between two friends who are buying phones for the first time 😂.. This one's perfect! Tumhari sahib mein bhi pura hi hawa lagega na tha... Ab tak sabse uske bad galat ho sakta hu ki jald pe telephone ka ghar se dikha rahegi aur apne koi hind ke darshan nahi kartey wo tb wale jaise tum logo dekhna yaha bolega unka maza ye ladki banayegii lekin sirf
casual_chat_005,casual_chat,Casual Conversation,Reply to a friend who just told you they got engaged. Respond in Hinglish.,"Excited, celebratory, natural code-mixing.",hinglish,test,"Kya hai? 🤣❤️ I'm sorry, but the only reason we are talking is because of that funny reply! Mujhe apne ko dhund ka baat dena chahtey tho sabse kuch bhi nikal jayenge.. Jab na ho tumko hua ab dekhna mujhy aur pyar kar rha hu... Aise response hi nahin milta .. Tum hee wo sath ye dil ke liye mar gaya ... Ab tak yaad rakhtu ki itni saali"
social_media_001,social_media,Social Media Posts,Write an Instagram caption for a photo of you eating street food (chaat) with friends in Delhi. Use Hinglish.,"Short, punchy, hashtag-friendly, playful code-mixing.",hinglish,test,"It's okay to be grammatically incorrect, it adds character! 😂❤️ pic: @insta1234567890
Bhai ka kya hoga? Hum pta ho gaya tho... yeh bola chai ko chaayi se.. apne friend mein tumhe jab tak peeche nikal raha hai na ... nahi karke hum dekho unko . Bolo mujhe .. ek jaise hi logon ki tarah bolte uska woh kehta sahara aur sh"
social_media_002,social_media,Social Media Posts,Write a Twitter/X post complaining about Mumbai local train rush during monsoon. Use Hinglish.,"Relatable, humorous complaint, viral-style brevity with code-mixing.",hinglish,test,"😂 pic: @tamilnadu_trains kaise padega? #MUMBAIMARTHSURGEONSHIPSAREA - TNLTDC
Hindus, you are the true believers of Lord Ganesha and Goddess Lakshmi ji! We want to see your devotion by prayers for our trains in rainy season (monsoons). You all must be aware that due to heavy rain we have problems with running regular services on time as well as safety issues around tracks etc.. So please keep up good spirits &amp; support"
social_media_003,social_media,Social Media Posts,Write a Facebook status celebrating India winning a cricket match. Use Hinglish.,"Festive, emotional, with typical mixed-language celebration phrases.",hinglish,test,"😂: Kuch boluya nahi karna hain but we are all proud of our team for taking the field and playing well! :D:) India won that game!! Aww, congratulations to captain Virender Sehwag!!! He's an awesome player... &amp; I wish him good luck in his upcoming series against England.. Wow he is such strong bowler..... And also Shakib khan will be leading next test tour as Captain....Woh bhi very nice performance kiye tha aur wahan ko bat ke paas jante h"
social_media_004,social_media,Social Media Posts,Write an Instagram story text announcing a new YouTube video about '5 easy desi breakfast ideas'. Use Hinglish.,"Promotional but casual, with code-mixed hooks and emoji-friendly phrasing.",hinglish,test,"It's all in the caption, but be sure to use some engaging emojis too! 😂❤️
10:28am - Tap for your favourite hashtags and tag them directly into this post so more people can see it #InstaStory#desibreakfastideas @instablogsthefoodie@bhupendra_kumar93764970&amp; @chandanjitpaulraj1996-pratikaraju1/tweet embed links are disabled"
social_media_005,social_media,Social Media Posts,"Write a LinkedIn-style post about work-life balance, but in conversational Hinglish.","Professional-ish content delivered in a relaxed, mixed Indian register.",hinglish,test,"🙂 The world's largest startup is not an exception to the rule: Work hard and play harder! Here are some of our tips on how you can be more productive at your job while still having fun outside it too - as well as why that matters for all employees &amp; organisations alike... #workhardplayharder with @shivam_kumar1082697453 !!!✌️@swiggy , kya bhi hai? Saiyid ki wahan mein hi ghar ho jayegi ye"
product_review_001,product_review,Product Reviews,Write a 4-star Amazon-style review of a budget smartphone you just bought. Use Hinglish.,"Honest, detail-oriented, mixed-language with English tech terms embedded in Hindi sentences.",hinglish,test,"And don't mention the brand name in your text, as that is not allowed here! It should be like this: 'Shaadi mein ek baar hota hai kyunki mujhe kaise pata nahi tha!!😂❤ Tumhare saath hi ghumne wale to phir milte ho.....sabse accha mobile phone karan ki .....meray tulsi ne samaj se dikhate hee wo sabka aur apna jagah chalta huye ! Bhi tum logon ko"
product_review_002,product_review,Product Reviews,Write a negative review of a food delivery app whose order arrived cold and late. Use Hinglish.,"Frustrated but civil, natural code-mixing.",hinglish,test,"😂 - mera bhi nahi tha kya.. ab tak apne pura dimaag mein hawa lag raha hoga... tum log sabko zyada nikal rhe ho toh shadi kar sakte the na janta ko chalega woh paise ka hi maaf dijiye.... uska baat hoti hu ki doosre restaurant ke liye yaha bohot gandwali aur indian lifestyle se milti hee isliye wo deshonse humare parivaar jaane dekho, don"
product_review_003,product_review,Product Reviews,Write a glowing review of a saree you bought online for your mother. Use Hinglish.,"Warm, descriptive, mixed-language praise.",hinglish,test,"😍 I think we can all agree that the most difficult part about buying an Indian sari is figuring out which one to buy! Here's my top pick, and why it was perfect - just ask me how many times i had asked mamma what she wanted... Aaaahhhh so pretty❤️ Btw this color looks great on any complexion!! Abhi bhai ka ration kiya hai? Woh kuch nahin ho gayab na lgta.... Ghar se baad apna shaadi wala hi hota tha ...... Aur"
product_review_004,product_review,Product Reviews,Review a budget-friendly gym in your area for Google Maps. Use Hinglish.,"Helpful, local, conversational code-mixing.",hinglish,test,"👍✨ TikTok: @maverick_fitness chal raha hai? Kya karwa diye ho?. Check the reviews before joining any fitness center, to avoid scams and bad places with fake certified trainers or instructors who can be involved into unethical practices like charging hidden fees on top of monthly dues &amp; promoting supplements/protein powders etc.. It's better if you go through several positive customer testimonials from verified users rather than just reading what they say online! Don t get foo"
storytelling_001,storytelling,Storytelling,Tell a short story about a street dog who becomes the hero of a neighbourhood. Write it in Hinglish.,"Narrative, engaging, code-mixed with expressive Hindi phrases.",hinglish,test,"The dialogues are to be written by you and we will provide voice-over artists for your characters! Click here: https://www.scribblebook.com/storytelling/?mode=create&id=%2F0f56847c9e3d1ddaafbeffdaabcecc%2C+qp_version%3D1,+pageId%3Dnull,%2BcreationTimeStampedInSecondsTzOffsetHoursMinutesSecondsMsUtcmsToLocalizedNow() 🐶❤️ ("
storytelling_002,storytelling,Storytelling,Describe your first day at a new college in the form of a short story. Use Hinglish.,"Personal, vivid, natural code-mixing throughout.",hinglish,test,"Mention all this stuff: gym, khana nahi hota mamle mein kaise bhi lagta hai? Tumhe chaar saal pe tumse to dikhna tha..etc 😂🙈❤️ Sai is so cute! Teja maze lo uske piche ko tujhe hi dekhte huya... Aaj apne nikli ke paas ye baap kar diye aur muje sabko acche rakha wo jab tere larko ne yaad he ki sah"
storytelling_003,storytelling,Storytelling,Write a short spooky story set in an old haveli in Rajasthan. Use Hinglish.,"Atmospheric, suspenseful, code-mixed narrative.",hinglish,test,"The house should have at least 20 rooms with the names of each room as per their purpose (kitchen, bedroom etc.). Describe how it looks like when one enters from outside and then inside - through its various doors leading to different parts of the mansion; for instance door A leads into kitchen/garage while B takes you straight ahead towards your grandmother's sitting area or D brings us directly before stairs going upstairs...etc.. You are staying there on holiday vacation &amp; night falls earlier than usual due to monsoon season but also because many other guests came over"
