model,prompt,response,total_tokens,hindi_tokens,english_tokens,hindi_ratio,english_ratio,CMI,M_index,SyMCoM,switches
hinggpt,"A friend asks you: 'What did you do this weekend?' Respond in natural Hinglish, like you are chatting with a close friend.","I think it ' s a pretty easy to hone your communication skills , and practice that when you ' re down the road , you know that you don ' t have to work on something very specific . You can read what you need to learn from others . - John Len non mujhe bhi ye sab nhi aata but maine toh apne college friends se hi share kiya h 😅 ✌ ( also me and my freind s ) but vo log to khud ko hi ni jaante 😔 ✌ 😅 😃 😅 😄 😁 😅 🤭 😅 🤪 😂 😅😂 😅 😅 😅 😅 😅 😅 😝 🤣 😅 🤣😂 😆 😅 😆 😅 😛 😝 😂🤣 😅😅 😁 😅 🤣😂 😅 😅 😉",79,16,63,0.20253164556962025,0.7974683544303798,20.253164556962023,0.20253164556962022,0.3076923076923077,24
hinggpt,Your friend is stressed about an upcoming exam. Cheer them up with a message in Hinglish.,"He ' s like : Kya hua ? Mujhe kuch nahi pata . I am like : Bas kar yaar ab . Ye kya ho raha hai bhai ? Why are you so worried ? And why are you not letting me talk to you ? It ' s okay . You can be my friend , you don ' t have to be the only one ! Please . That ' s all you need . You can do ! And I promise . You ' ll be the last person to love me . You ' re my everything . And I ' m happy to live here . Happy birthday . 😘 💙 💜 💙 💛 💙 💜 💙 💙 💙 💜 💙 💜 💙",88,18,70,0.20454545454545456,0.7954545454545454,20.45454545454546,0.20454545454545459,0.3218390804597701,28
hinggpt,Tell your friend about a funny incident that happened to you on the bus today. Respond in Hinglish.,"What are your thoughts on this issue ? I can understand . But if you have any doubts , please ask your wife to share her contact details . Thanks . Jai Hind 🇮🇳 . Jai Bharat 🇮🇳 . 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 . 🇮🇳 🙏 🇮🇳 . 🇮🇳 . 🇳 🇪 🙏 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 . 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳",30,1,29,0.03333333333333333,0.9666666666666667,3.3333333333333326,0.033333333333333326,0.06896551724137931,2
hinggpt,"Your friend is planning to buy a new phone and asks your opinion: iPhone ya Samsung, kya lena chahiye? Respond in Hinglish.",😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 ! 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂,0,0,0,0.0,0.0,0.0,0.0,0.0,0
hinggpt,Reply to a friend who just told you they got engaged. Respond in Hinglish.,"For example , I was on the verge of a relationship with my friends and I said we are all going to see how much people want to meet . Like no one else will ever know about me . How do you feel about your emotions ? You ' re not alone ... But as long as there is something you enjoy , you will be fine soon , it ' s okay . We are not talking about yourself , it ' s ok . Take care of yourself . 😊 😊 😇 😊 🤗 😊 🤗 😊 😊 ☺ 🙏 😊😊 🤗 😊 😊 😊🙏 😊 🤗 😊 😊 👍 😊🙏 😊😊 😊😊 🙏🙏 👍👍 👍👍👍 👍👍👍 🙏🙏🙏 👍👍👍 🙏🙏 😊😊 🙏🙏 😊😊 😊😊😊 😀😀😀",78,5,73,0.0641025641025641,0.9358974358974359,6.41025641025641,0.0641025641025641,0.12987012987012986,10
hinggpt,Write an Instagram caption for a photo of you eating street food (chaat) with friends in Delhi. Use Hinglish.,"Then check the ground reality . It ' s not about Hindus , it ' s about politics and politics . This is what India has learnt from this . If we think that way , we have to be careful about it . And it ' s a big question . I think its all about democracy . So if we think that ' s true then it is not possible . We need to do something on our own . We don ' t want to go on a serious note . We must support Modiji . We know he will save us . We are also not like Modi ji . We are not afraid of his actions . We have to stand by him",108,6,102,0.05555555555555555,0.9444444444444444,5.555555555555558,0.05555555555555558,0.09345794392523364,10
hinggpt,Write a Twitter/X post complaining about Mumbai local train rush during monsoon. Use Hinglish.,"Its the same thing that happened to T ir up ati , C ot ton , S pain , C raw ley , F lo yd etc . Its all good for UP as well as this city and I guess it will be good for people in future . You ' re a mere shell of a man who knows how to play . The one you can ' t blame is not enough . It ' s high time he should change his mind . We have to do our best to take strong action against these goons . We are with you . Don ' t let these kind of fake farmers become heroes . Jai Hind 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🕉 🙏 🇮🇳🙏 🕉",104,8,96,0.07692307692307693,0.9230769230769231,7.692307692307687,0.07692307692307687,0.13592233009708737,14
hinggpt,Write a Facebook status celebrating India winning a cricket match. Use Hinglish.,Watch the video and see if it ' s true . He is very kind hearted person . He has genuine feelings for people like you . But we will never get into this trap . Aise logo ko kadi se kadi saja milni chahiye . Jai Hind 🇮🇳 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🇮🇳,42,4,38,0.09523809523809523,0.9047619047619048,9.523809523809524,0.09523809523809523,0.1951219512195122,8
hinggpt,Write an Instagram story text announcing a new YouTube video about '5 easy desi breakfast ideas'. Use Hinglish.,"Learn Neela Ja doo . A va il . A va il . A va il . A va il . A va il . A va il . No one can come close to you . So , be it ! Watch . Only on A wa il . O re o mo neela o ba ka bo . O e kana . I no w / o any of the above . My o card number . And the list is endless . I ' ll check out my old e - mail . P interest it . I ' m not even sure if I ' ve ever seen it . ( 2 / 2 ) ye kaise ho sakta h ? is this how",97,9,88,0.09278350515463918,0.9072164948453608,9.278350515463918,0.09278350515463918,0.125,12
hinggpt,"Write a LinkedIn-style post about work-life balance, but in conversational Hinglish.","That ' s the problem . If you have to work on your own work , it ' ll help you hone your skills . Learn more about the work you do . You can focus on the process at a time when you are working on the right direction . You can do it ! A lot of things will change for you , you can do it . I ' m sure . :-) bhai aaj ka match india ko hi dekh lena . 👍 💪 🇮🇳 🔥 🙏 🕉 🙏 🇮🇳 🚩 🙏 🚩🚩 🚩 🕉 🙏 🙏 🇮🇳🙏 jai hind 🇮🇳 🕉 🙏 🇮🇳 🇮🇳 🇮🇳 🚩 🇮🇳 🇮🇳 💐🙏 💐 🇮🇳 🙏 🇮🇳 🙏🏻 🇮🇳 🙏 🇮🇳 🚩 🇮🇳 🙏 🇮🇳 🇮🇳 🕉",74,11,63,0.14864864864864866,0.8513513513513513,14.864864864864868,0.14864864864864868,0.273972602739726,20
hinggpt,Write a 4-star Amazon-style review of a budget smartphone you just bought. Use Hinglish.,"Buy the product : The only way to open these Cha kra s is by getting the mantras of these De ities from a Complete Saint . This is what Jagat Guru Rampal Ji Maharaj gives to his devotees . Take initiation from him . Visit Ashram YouTube Channel for more information . . i am with you and your family , sir . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",56,5,51,0.08928571428571429,0.9107142857142857,8.92857142857143,0.0892857142857143,0.18181818181818182,10
hinggpt,Write a negative review of a food delivery app whose order arrived cold and late. Use Hinglish.,"If you are ready to go back to the gym , it ' s not just me . It ' s a mere product of a kind of self - help exercise . You can ' t do anything for your own sake . In fact , the person who does that is doing something so that they can use it as an excuse . I don ' t care about what people say or what people say . This is absolutely how you know . And if they say , this is how you talk about the people who dont care . Your point is , there is no difference between them being a fan and a fan . This is my opinion . The fans are",110,9,101,0.08181818181818182,0.9181818181818182,8.18181818181818,0.08181818181818179,0.14678899082568808,16
