model,criterion,N,mean,median,SD,CI95_low,CI95_high
HingGPT,fluency,34,2.088235294117647,2.0,0.8657680793384716,1.7972184128081805,2.379252175427114
HingGPT,code_mixing_naturalness,34,1.8823529411764706,2.0,0.8444006618414981,1.5985184443300091,2.166187438022932
HingGPT,hindi_grammar,34,1.9411764705882353,2.0,0.8143105085150718,1.6674563944372922,2.2148965467391784
HingGPT,prompt_adherence,34,1.8529411764705883,2.0,0.9254762227411247,1.5418541654156412,2.1640281875255356
HingGPT,spelling_consistency,34,1.9705882352941178,2.0,0.9369613723044995,1.6556406379146438,2.2855358326735917
HingGPT,overall,34,1.7352941176470589,2.0,0.8637067238437098,1.444970134657214,2.025618100636904
Phi-3.5-mini,fluency,34,2.264705882352941,2.0,0.5672273623252055,2.0740396497708766,2.4553721149350056
Phi-3.5-mini,code_mixing_naturalness,34,2.1176470588235294,2.0,0.47766514722122566,1.9570860208596859,2.278208096787373
Phi-3.5-mini,hindi_grammar,34,2.1176470588235294,2.0,0.47766514722122566,1.9570860208596859,2.278208096787373
Phi-3.5-mini,prompt_adherence,34,2.911764705882353,3.0,0.7534827041035808,2.658491119223446,3.1650382925412597
Phi-3.5-mini,spelling_consistency,34,2.2058823529411766,2.0,0.5382019315025577,2.0249726481848147,2.3867920576975385
Phi-3.5-mini,overall,34,2.2058823529411766,2.0,0.5382019315025577,2.0249726481848147,2.3867920576975385
Qwen2.5-3B,fluency,34,3.176470588235294,3.0,1.336449122370355,2.7272402863764253,3.6257008900941625
Qwen2.5-3B,code_mixing_naturalness,34,3.0,2.5,1.3257359305592338,2.554370800727548,3.445629199272452
Qwen2.5-3B,hindi_grammar,34,3.0588235294117645,3.0,1.347077115755897,2.606020763328988,3.511626295494541
Qwen2.5-3B,prompt_adherence,34,3.411764705882353,3.5,1.4379625118142838,2.928411974804682,3.8951174369600237
Qwen2.5-3B,spelling_consistency,34,3.2058823529411766,3.0,1.4308169263217574,2.7249315191553927,3.6868331867269606
Qwen2.5-3B,overall,34,2.6470588235294117,2.0,1.5152228147216893,2.137736028484589,3.156381618574234
Qwen2.5-7B,fluency,34,3.264705882352941,3.0,1.3098420799889596,2.8244191979356152,3.704992566770267
Qwen2.5-7B,code_mixing_naturalness,34,3.2941176470588234,3.0,1.1941628680530643,2.892715052149214,3.6955202419684325
Qwen2.5-7B,hindi_grammar,34,3.1470588235294117,3.0,1.209366298901944,2.7405457895352088,3.5535718575236146
Qwen2.5-7B,prompt_adherence,34,3.5588235294117645,4.0,1.3526892736119192,3.104134308150456,4.0135127506730734
Qwen2.5-7B,spelling_consistency,34,3.4411764705882355,3.5,1.4395112064061828,2.9573031656051607,3.9250497755713103
Qwen2.5-7B,overall,34,2.764705882352941,2.0,1.558142319119475,2.2409562441208126,3.2884555205850696
