id,category,category_name,prompt,expected_style,language,split,response
casual_chat_001,casual_chat,Casual Conversation,"A friend asks you: 'What did you do this weekend?' Respond in natural Hinglish, like you are chatting with a close friend.","Warm, informal, heavy code-mixing with Hindi function words and English content words.",hinglish,test,The correct response is: Aap kaise hain? I am doing good and you? (I am good too) Tumne Kya kiya hain? Kuch nahi kr diya tha? I didn't do anything. Phir bhi tumne koi kaam kiya? What else did you do? Pehle se khel gaya toh bhai? You have been playing since yesterday! 😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
casual_chat_002,casual_chat,Casual Conversation,Your friend is stressed about an upcoming exam. Cheer them up with a message in Hinglish.,"Empathetic, encouraging, conversational code-mixing.",hinglish,test,🤣🤣🤣😭😭😭😭😭😭😭😭😭😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
casual_chat_003,casual_chat,Casual Conversation,Tell your friend about a funny incident that happened to you on the bus today. Respond in Hinglish.,"Animated, narrative, natural code-mixing.",hinglish,test,😊😊😊 . Abhi tak bhi nhi jana kaha se dekha hai abhi tak bhi nahi tha 🤔🤔🤔🤔 . Naya samajh hai naa...abhi tak bhi nahi thaa 💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯
casual_chat_004,casual_chat,Casual Conversation,"Your friend is planning to buy a new phone and asks your opinion: iPhone ya Samsung, kya lena chahiye? Respond in Hinglish.","Opinionated but friendly, typical mixed conversational register.",hinglish,test,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
casual_chat_005,casual_chat,Casual Conversation,Reply to a friend who just told you they got engaged. Respond in Hinglish.,"Excited, celebratory, natural code-mixing.",hinglish,test,"😂😂😂😂 Aap kya keh rahe hain, mere dil mei jo choti se choti baat ho, wo bhi saare badi badi baatein ho gaye 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣"
social_media_001,social_media,Social Media Posts,Write an Instagram caption for a photo of you eating street food (chaat) with friends in Delhi. Use Hinglish.,"Short, punchy, hashtag-friendly, playful code-mixing.",hinglish,test,"20 words max. You can use the following keywords: chaat, garam, kachori, sabzi, bhindi, paani puri, jalebi, dahi bhalla, sev, kulfi, kebab, tandoori, paratha, dal makhni, pakora, chana masala, biryani, samosa, vada pav, batata fry, bhelpuri, pani puri, sev, kheer, lassi, golgappa, paan, gulab jamun, raita, paneer tikka, sh"
social_media_002,social_media,Social Media Posts,Write a Twitter/X post complaining about Mumbai local train rush during monsoon. Use Hinglish.,"Relatable, humorous complaint, viral-style brevity with code-mixing.",hinglish,test,"Your post should include: 1) Complaint about the trains being too packed, with people not able to move around or even stand up straight. 2) Mention that it's raining and the trains are muddy. 3) Complain about the loud music and noise from other passengers. 4) Express frustration at how long you have been waiting for your train. 5) Use emojis like 🚅 ⛅ ♾️ 😡 to add emotion and sarcasm to your message. 6) End by tagging the relevant authorities responsible for the Mumbai local trains. 💰 💸 💲 💳 💵 �"
social_media_003,social_media,Social Media Posts,Write a Facebook status celebrating India winning a cricket match. Use Hinglish.,"Festive, emotional, with typical mixed-language celebration phrases.",hinglish,test,🇮🇳❤️🙏🏻🤞🏽👍🏼🔥🔥🔥💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯
social_media_004,social_media,Social Media Posts,Write an Instagram story text announcing a new YouTube video about '5 easy desi breakfast ideas'. Use Hinglish.,"Promotional but casual, with code-mixed hooks and emoji-friendly phrasing.",hinglish,test,"Include the link to your video in your story text. Add an emoji of a plate with eggs and paratha. Make sure you add the right hashtags like #foodporn, #eatmehappy, etc. Don't forget to tag the person who helped you make these recipes! You'll love them so much! 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍"
social_media_005,social_media,Social Media Posts,"Write a LinkedIn-style post about work-life balance, but in conversational Hinglish.","Professional-ish content delivered in a relaxed, mixed Indian register.",hinglish,test,Use phrases like 'abhi tak nahi' and 'kaise kaise'. Include at least one emoji. 🤔 Abhi tak nahi mujhe work-life balance ke baare mein pata nahi hota hai. Kaise kaise ek batao? 🙈😊✨ #worklifebalance #hinglish #emoji
