category,category_name,model,overall_mean,valid_judgments
advice_opinion,Advice & Opinions,HingGPT,2.2,5
advice_opinion,Advice & Opinions,Phi-3.5-mini,4.0,5
advice_opinion,Advice & Opinions,Qwen2.5-3B,3.8,5
advice_opinion,Advice & Opinions,Qwen2.5-7B,3.8,5
captions_quips,Captions & One-liners,HingGPT,3.0,4
captions_quips,Captions & One-liners,Phi-3.5-mini,4.0,4
captions_quips,Captions & One-liners,Qwen2.5-3B,3.5,4
captions_quips,Captions & One-liners,Qwen2.5-7B,3.75,4
casual_chat,Casual Conversation,HingGPT,2.2,5
casual_chat,Casual Conversation,Phi-3.5-mini,4.0,5
casual_chat,Casual Conversation,Qwen2.5-3B,4.0,4
casual_chat,Casual Conversation,Qwen2.5-7B,3.8,5
customer_support,Customer Support Dialogues,HingGPT,2.5,2
customer_support,Customer Support Dialogues,Phi-3.5-mini,4.0,3
customer_support,Customer Support Dialogues,Qwen2.5-3B,4.0,3
customer_support,Customer Support Dialogues,Qwen2.5-7B,4.0,3
news_explainer,News & Explainers,HingGPT,2.25,4
news_explainer,News & Explainers,Phi-3.5-mini,3.25,4
news_explainer,News & Explainers,Qwen2.5-3B,4.0,4
news_explainer,News & Explainers,Qwen2.5-7B,4.0,4
product_review,Product Reviews,HingGPT,2.3333333333333335,3
product_review,Product Reviews,Phi-3.5-mini,4.0,4
product_review,Product Reviews,Qwen2.5-3B,3.25,4
product_review,Product Reviews,Qwen2.5-7B,4.0,4
social_media,Social Media Posts,HingGPT,2.6666666666666665,3
social_media,Social Media Posts,Phi-3.5-mini,4.0,5
social_media,Social Media Posts,Qwen2.5-3B,3.6,5
social_media,Social Media Posts,Qwen2.5-7B,3.8,5
storytelling,Storytelling,HingGPT,3.0,2
storytelling,Storytelling,Phi-3.5-mini,4.0,4
storytelling,Storytelling,Qwen2.5-3B,3.5,4
storytelling,Storytelling,Qwen2.5-7B,4.0,4
