criterion,model_1,model_2,total,model_1_wins,model_2_wins,ties,model_1_win_percent,model_2_win_percent,tie_percent
fluency,HingGPT,Phi-3.5-mini,34,14,8,12,41.18,23.53,35.29
fluency,HingGPT,Qwen2.5-3B,34,8,12,14,23.53,35.29,41.18
fluency,HingGPT,Qwen2.5-7B,34,11,15,8,32.35,44.12,23.53
fluency,Phi-3.5-mini,Qwen2.5-3B,34,13,11,10,38.24,32.35,29.41
fluency,Phi-3.5-mini,Qwen2.5-7B,34,11,15,8,32.35,44.12,23.53
fluency,Qwen2.5-3B,Qwen2.5-7B,34,11,11,12,32.35,32.35,35.29
code_mixing_naturalness,HingGPT,Phi-3.5-mini,34,10,17,7,29.41,50.0,20.59
code_mixing_naturalness,HingGPT,Qwen2.5-3B,34,9,20,5,26.47,58.82,14.71
code_mixing_naturalness,HingGPT,Qwen2.5-7B,34,12,9,13,35.29,26.47,38.24
code_mixing_naturalness,Phi-3.5-mini,Qwen2.5-3B,34,13,8,13,38.24,23.53,38.24
code_mixing_naturalness,Phi-3.5-mini,Qwen2.5-7B,34,7,11,16,20.59,32.35,47.06
code_mixing_naturalness,Qwen2.5-3B,Qwen2.5-7B,34,12,12,10,35.29,35.29,29.41
hindi_grammar,HingGPT,Phi-3.5-mini,34,12,8,14,35.29,23.53,41.18
hindi_grammar,HingGPT,Qwen2.5-3B,34,9,7,18,26.47,20.59,52.94
hindi_grammar,HingGPT,Qwen2.5-7B,34,10,10,14,29.41,29.41,41.18
hindi_grammar,Phi-3.5-mini,Qwen2.5-3B,34,5,16,13,14.71,47.06,38.24
hindi_grammar,Phi-3.5-mini,Qwen2.5-7B,34,15,12,7,44.12,35.29,20.59
hindi_grammar,Qwen2.5-3B,Qwen2.5-7B,34,9,12,13,26.47,35.29,38.24
prompt_adherence,HingGPT,Phi-3.5-mini,34,9,4,21,26.47,11.76,61.76
prompt_adherence,HingGPT,Qwen2.5-3B,34,11,9,14,32.35,26.47,41.18
prompt_adherence,HingGPT,Qwen2.5-7B,34,17,6,11,50.0,17.65,32.35
prompt_adherence,Phi-3.5-mini,Qwen2.5-3B,34,11,7,16,32.35,20.59,47.06
prompt_adherence,Phi-3.5-mini,Qwen2.5-7B,34,6,11,17,17.65,32.35,50.0
prompt_adherence,Qwen2.5-3B,Qwen2.5-7B,34,7,10,17,20.59,29.41,50.0
spelling_consistency,HingGPT,Phi-3.5-mini,34,9,15,10,26.47,44.12,29.41
spelling_consistency,HingGPT,Qwen2.5-3B,34,14,9,11,41.18,26.47,32.35
spelling_consistency,HingGPT,Qwen2.5-7B,34,9,14,11,26.47,41.18,32.35
spelling_consistency,Phi-3.5-mini,Qwen2.5-3B,34,13,10,11,38.24,29.41,32.35
spelling_consistency,Phi-3.5-mini,Qwen2.5-7B,34,12,13,9,35.29,38.24,26.47
spelling_consistency,Qwen2.5-3B,Qwen2.5-7B,34,14,14,6,41.18,41.18,17.65
overall,HingGPT,Phi-3.5-mini,34,19,8,7,55.88,23.53,20.59
overall,HingGPT,Qwen2.5-3B,34,17,8,9,50.0,23.53,26.47
overall,HingGPT,Qwen2.5-7B,34,16,13,5,47.06,38.24,14.71
overall,Phi-3.5-mini,Qwen2.5-3B,34,13,17,4,38.24,50.0,11.76
overall,Phi-3.5-mini,Qwen2.5-7B,34,16,14,4,47.06,41.18,11.76
overall,Qwen2.5-3B,Qwen2.5-7B,34,12,12,10,35.29,35.29,29.41
