model_1,model_2,criterion,model_1_wins,model_2_wins,ties,valid_judgments
HingGPT,Phi-3.5-mini,fluency,11,19,0,30
HingGPT,Phi-3.5-mini,code_mixing_naturalness,11,19,0,30
HingGPT,Phi-3.5-mini,hindi_grammar,11,19,0,30
HingGPT,Phi-3.5-mini,prompt_adherence,11,19,0,30
HingGPT,Phi-3.5-mini,spelling_consistency,11,19,0,30
HingGPT,Phi-3.5-mini,overall,11,19,0,30
HingGPT,Qwen2.5-3B,fluency,3,10,0,13
HingGPT,Qwen2.5-3B,code_mixing_naturalness,3,10,0,13
HingGPT,Qwen2.5-3B,hindi_grammar,3,10,0,13
HingGPT,Qwen2.5-3B,prompt_adherence,4,9,0,13
HingGPT,Qwen2.5-3B,spelling_consistency,3,10,0,13
HingGPT,Qwen2.5-3B,overall,3,10,0,13
HingGPT,Qwen2.5-7B,fluency,0,0,0,0
HingGPT,Qwen2.5-7B,code_mixing_naturalness,0,0,0,0
HingGPT,Qwen2.5-7B,hindi_grammar,0,0,0,0
HingGPT,Qwen2.5-7B,prompt_adherence,0,0,0,0
HingGPT,Qwen2.5-7B,spelling_consistency,0,0,0,0
HingGPT,Qwen2.5-7B,overall,0,0,0,0
Phi-3.5-mini,Qwen2.5-3B,fluency,0,0,0,0
Phi-3.5-mini,Qwen2.5-3B,code_mixing_naturalness,0,0,0,0
Phi-3.5-mini,Qwen2.5-3B,hindi_grammar,0,0,0,0
Phi-3.5-mini,Qwen2.5-3B,prompt_adherence,0,0,0,0
Phi-3.5-mini,Qwen2.5-3B,spelling_consistency,0,0,0,0
Phi-3.5-mini,Qwen2.5-3B,overall,0,0,0,0
Phi-3.5-mini,Qwen2.5-7B,fluency,0,0,0,0
Phi-3.5-mini,Qwen2.5-7B,code_mixing_naturalness,0,0,0,0
Phi-3.5-mini,Qwen2.5-7B,hindi_grammar,0,0,0,0
Phi-3.5-mini,Qwen2.5-7B,prompt_adherence,0,0,0,0
Phi-3.5-mini,Qwen2.5-7B,spelling_consistency,0,0,0,0
Phi-3.5-mini,Qwen2.5-7B,overall,0,0,0,0
Qwen2.5-3B,Qwen2.5-7B,fluency,0,0,0,0
Qwen2.5-3B,Qwen2.5-7B,code_mixing_naturalness,0,0,0,0
Qwen2.5-3B,Qwen2.5-7B,hindi_grammar,0,0,0,0
Qwen2.5-3B,Qwen2.5-7B,prompt_adherence,0,0,0,0
Qwen2.5-3B,Qwen2.5-7B,spelling_consistency,0,0,0,0
Qwen2.5-3B,Qwen2.5-7B,overall,0,0,0,0
