model,sample,prompt,response,hindi_tokens,english_tokens,other_tokens,CMI,M_index,SyMCoM_imbalance
hinggpt,0,"A friend asks you: 'What did you do this weekend?' Respond in natural Hinglish, like you are chatting with a close friend.","I think it ' s a pretty easy to hone your communication skills , and practice that when you ' re down the road , you know that you don ' t have to work on something very specific . You can read what you need to learn from others . - John Len non mujhe bhi ye sab nhi aata but maine toh apne college friends se hi share kiya h 😅 ✌ ( also me and my freind s ) but vo log to khud ko hi ni jaante 😔 ✌ 😅 😃 😅 😄 😁 😅 🤭 😅 🤪 😂 😅😂 😅 😅 😅 😅 😅 😅 😝 🤣 😅 🤣😂 😆 😅 😆 😅 😛 😝 😂🤣 😅😅 😁 😅 🤣😂 😅 😅 😉",15,64,49,18.99,0.4443,0.6853
hinggpt,1,Your friend is stressed about an upcoming exam. Cheer them up with a message in Hinglish.,"He ' s like : Kya hua ? Mujhe kuch nahi pata . I am like : Bas kar yaar ab . Ye kya ho raha hai bhai ? Why are you so worried ? And why are you not letting me talk to you ? It ' s okay . You can be my friend , you don ' t have to be the only one ! Please . That ' s all you need . You can do ! And I promise . You ' ll be the last person to love me . You ' re my everything . And I ' m happy to live here . Happy birthday . 😘 💙 💜 💙 💛 💙 💜 💙 💙 💙 💜 💙 💜 💙",15,73,40,17.05,0.3943,0.7474
hinggpt,2,Tell your friend about a funny incident that happened to you on the bus today. Respond in Hinglish.,"What are your thoughts on this issue ? I can understand . But if you have any doubts , please ask your wife to share her contact details . Thanks . Jai Hind 🇮🇳 . Jai Bharat 🇮🇳 . 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 . 🇮🇳 🙏 🇮🇳 . 🇮🇳 . 🇳 🇪 🙏 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 . 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳 . 🇮🇳 🇮🇳 🇮🇳",0,30,98,0.0,0.0,1.0
hinggpt,3,"Your friend is planning to buy a new phone and asks your opinion: iPhone ya Samsung, kya lena chahiye? Respond in Hinglish.",😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 ! 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂,0,0,128,0.0,0.0,0.0
hinggpt,4,Reply to a friend who just told you they got engaged. Respond in Hinglish.,"For example , I was on the verge of a relationship with my friends and I said we are all going to see how much people want to meet . Like no one else will ever know about me . How do you feel about your emotions ? You ' re not alone ... But as long as there is something you enjoy , you will be fine soon , it ' s okay . We are not talking about yourself , it ' s ok . Take care of yourself . 😊 😊 😇 😊 🤗 😊 🤗 😊 😊 ☺ 🙏 😊😊 🤗 😊 😊 😊🙏 😊 🤗 😊 😊 👍 😊🙏 😊😊 😊😊 🙏🙏 👍👍 👍👍👍 👍👍👍 🙏🙏🙏 👍👍👍 🙏🙏 😊😊 🙏🙏 😊😊 😊😊😊 😀😀😀",0,78,50,0.0,0.0,1.0
hinggpt,5,Write an Instagram caption for a photo of you eating street food (chaat) with friends in Delhi. Use Hinglish.,"Then check the ground reality . It ' s not about Hindus , it ' s about politics and politics . This is what India has learnt from this . If we think that way , we have to be careful about it . And it ' s a big question . I think its all about democracy . So if we think that ' s true then it is not possible . We need to do something on our own . We don ' t want to go on a serious note . We must support Modiji . We know he will save us . We are also not like Modi ji . We are not afraid of his actions . We have to stand by him",1,107,20,0.93,0.0187,0.9722
hinggpt,6,Write a Twitter/X post complaining about Mumbai local train rush during monsoon. Use Hinglish.,"Its the same thing that happened to T ir up ati , C ot ton , S pain , C raw ley , F lo yd etc . Its all good for UP as well as this city and I guess it will be good for people in future . You ' re a mere shell of a man who knows how to play . The one you can ' t blame is not enough . It ' s high time he should change his mind . We have to do our best to take strong action against these goons . We are with you . Don ' t let these kind of fake farmers become heroes . Jai Hind 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🕉 🙏 🇮🇳🙏 🕉",3,101,24,2.88,0.0594,0.9059
hinggpt,7,Write a Facebook status celebrating India winning a cricket match. Use Hinglish.,Watch the video and see if it ' s true . He is very kind hearted person . He has genuine feelings for people like you . But we will never get into this trap . Aise logo ko kadi se kadi saja milni chahiye . Jai Hind 🇮🇳 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🙏🏻 🇮🇳 🇮🇳,3,39,86,7.14,0.1529,0.8333
hinggpt,8,Write an Instagram story text announcing a new YouTube video about '5 easy desi breakfast ideas'. Use Hinglish.,"Learn Neela Ja doo . A va il . A va il . A va il . A va il . A va il . A va il . No one can come close to you . So , be it ! Watch . Only on A wa il . O re o mo neela o ba ka bo . O e kana . I no w / o any of the above . My o card number . And the list is endless . I ' ll check out my old e - mail . P interest it . I ' m not even sure if I ' ve ever seen it . ( 2 / 2 ) ye kaise ho sakta h ? is this how",6,91,31,6.19,0.1313,0.9313
hinggpt,9,"Write a LinkedIn-style post about work-life balance, but in conversational Hinglish.","That ' s the problem . If you have to work on your own work , it ' ll help you hone your skills . Learn more about the work you do . You can focus on the process at a time when you are working on the right direction . You can do it ! A lot of things will change for you , you can do it . I ' m sure . :-) bhai aaj ka match india ko hi dekh lena . 👍 💪 🇮🇳 🔥 🙏 🕉 🙏 🇮🇳 🚩 🙏 🚩🚩 🚩 🕉 🙏 🙏 🇮🇳🙏 jai hind 🇮🇳 🕉 🙏 🇮🇳 🇮🇳 🇮🇳 🚩 🇮🇳 🇮🇳 💐🙏 💐 🇮🇳 🙏 🇮🇳 🙏🏻 🇮🇳 🙏 🇮🇳 🚩 🇮🇳 🙏 🇮🇳 🇮🇳 🕉",8,66,54,10.81,0.2389,0.8408
