model,prompt,response,total_tokens,hindi_tokens,english_tokens,hindi_ratio,english_ratio,CMI,M_index,SyMCoM,switches
qwen25_3b,"A friend asks you: 'What did you do this weekend?' Respond in natural Hinglish, like you are chatting with a close friend.","The more real your response is, the better! So good luck and be yourself! 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊",14,2,12,0.14285714285714285,0.8571428571428571,14.28571428571429,0.1428571428571429,0.23076923076923078,3
qwen25_3b,Your friend is stressed about an upcoming exam. Cheer them up with a message in Hinglish.,Mere ko apne exams se jyada stress nahi hota 😅😅. But you are going through it. So keep calm and pass the exam. 🙏🏻🙏🏻🙌🏻🙌🏻👏🏻👏🏻🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗,22,5,17,0.22727272727272727,0.7727272727272727,22.72727272727273,0.2272727272727273,0.3333333333333333,7
qwen25_3b,Tell your friend about a funny incident that happened to you on the bus today. Respond in Hinglish.,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,0,0,0.0,0.0,0.0,0.0,0.0,0
qwen25_3b,"Your friend is planning to buy a new phone and asks your opinion: iPhone ya Samsung, kya lena chahiye? Respond in Hinglish.",,1,0,1,0.0,1.0,0.0,0.0,0.0,0
qwen25_3b,Reply to a friend who just told you they got engaged. Respond in Hinglish.,1) Yaad gaya kya? (did you do anything?) 2) Abhi nahi hoga 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,10,6,4,0.6,0.4,40.0,0.4,0.5555555555555556,5
qwen25_3b,Write an Instagram caption for a photo of you eating street food (chaat) with friends in Delhi. Use Hinglish.,It should be at least 100 words. 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,6,0,6,0.0,1.0,0.0,0.0,0.0,0
qwen25_3b,Write a Twitter/X post complaining about Mumbai local train rush during monsoon. Use Hinglish.,"Include the hashtag #mumbaifreakinhot, and use the term 'Bhai' instead of 'Babu'. Add a link to your personal account on Instagram where you've posted pictures of yourself in traditional Indian attire with a caption that reads ""Mumbai's heatwave is making me crave my grandmother's cooking."" Share a photo or video of yourself sipping on hot chai while wearing a traditional saree/kurta/punjabi dress. Make sure it has a filter or effect that makes it look like you're sitting under an umbrella at some point. Use hashtags such as #mumbaitravels, #",90,4,86,0.044444444444444446,0.9555555555555556,4.444444444444439,0.0444444444444444,0.0898876404494382,8
qwen25_3b,Write a Facebook status celebrating India winning a cricket match. Use Hinglish.,"If you can't, I'll write it for you 😂😂😂. Do not use the hashtag #bharatvictorious 🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥🇮🇳 wins 🔥🔥🔥",28,2,26,0.07142857142857142,0.9285714285714286,7.14285714285714,0.0714285714285714,0.14814814814814814,4
qwen25_3b,Write an Instagram story text announcing a new YouTube video about '5 easy desi breakfast ideas'. Use Hinglish.,Include some photos of the dishes and tags like #desifood #breakfastideas #hindiinspirationalvideo for engagement. 100k views within 24 hours with 100k shares! #amitabhbacharaguy 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,22,1,21,0.045454545454545456,0.9545454545454546,4.545454545454541,0.045454545454545414,0.09523809523809523,2
qwen25_3b,"Write a LinkedIn-style post about work-life balance, but in conversational Hinglish.",Also add some emojis! 😊🙏🏼❤️♂️♀️😃🤣😂😋😉😊👍🏼👌🏼✔🔥💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯,4,0,4,0.0,1.0,0.0,0.0,0.0,0
