criterion,model_1,model_2,total,model_1_wins,model_2_wins,ties,non_ties,model_1_win_percent,model_2_win_percent,tie_percent,raw_p_value,holm_adjusted_p,significant_after_holm
fluency,HingGPT,Phi-3.5-mini,34,14,8,12,22,63.64,36.36,35.29,0.286279,1.0,False
fluency,HingGPT,Qwen2.5-3B,34,8,12,14,20,40.0,60.0,41.18,0.503445,1.0,False
fluency,HingGPT,Qwen2.5-7B,34,11,15,8,26,42.31,57.69,23.53,0.557197,1.0,False
fluency,Phi-3.5-mini,Qwen2.5-3B,34,13,11,10,24,54.17,45.83,29.41,0.83882,1.0,False
fluency,Phi-3.5-mini,Qwen2.5-7B,34,11,15,8,26,42.31,57.69,23.53,0.557197,1.0,False
fluency,Qwen2.5-3B,Qwen2.5-7B,34,11,11,12,22,50.0,50.0,35.29,1.0,1.0,False
code_mixing_naturalness,HingGPT,Phi-3.5-mini,34,10,17,7,27,37.04,62.96,20.59,0.247789,1.0,False
code_mixing_naturalness,HingGPT,Qwen2.5-3B,34,9,20,5,29,31.03,68.97,14.71,0.061428,1.0,False
code_mixing_naturalness,HingGPT,Qwen2.5-7B,34,12,9,13,21,57.14,42.86,38.24,0.663624,1.0,False
code_mixing_naturalness,Phi-3.5-mini,Qwen2.5-3B,34,13,8,13,21,61.9,38.1,38.24,0.38331,1.0,False
code_mixing_naturalness,Phi-3.5-mini,Qwen2.5-7B,34,7,11,16,18,38.89,61.11,47.06,0.480682,1.0,False
code_mixing_naturalness,Qwen2.5-3B,Qwen2.5-7B,34,12,12,10,24,50.0,50.0,29.41,1.0,1.0,False
hindi_grammar,HingGPT,Phi-3.5-mini,34,12,8,14,20,60.0,40.0,41.18,0.503445,1.0,False
hindi_grammar,HingGPT,Qwen2.5-3B,34,9,7,18,16,56.25,43.75,52.94,0.803619,1.0,False
hindi_grammar,HingGPT,Qwen2.5-7B,34,10,10,14,20,50.0,50.0,41.18,1.0,1.0,False
hindi_grammar,Phi-3.5-mini,Qwen2.5-3B,34,5,16,13,21,23.81,76.19,38.24,0.026604,0.957733,False
hindi_grammar,Phi-3.5-mini,Qwen2.5-7B,34,15,12,7,27,55.56,44.44,20.59,0.701108,1.0,False
hindi_grammar,Qwen2.5-3B,Qwen2.5-7B,34,9,12,13,21,42.86,57.14,38.24,0.663624,1.0,False
prompt_adherence,HingGPT,Phi-3.5-mini,34,9,4,21,13,69.23,30.77,61.76,0.266846,1.0,False
prompt_adherence,HingGPT,Qwen2.5-3B,34,11,9,14,20,55.0,45.0,41.18,0.823803,1.0,False
prompt_adherence,HingGPT,Qwen2.5-7B,34,17,6,11,23,73.91,26.09,32.35,0.03469,1.0,False
prompt_adherence,Phi-3.5-mini,Qwen2.5-3B,34,11,7,16,18,61.11,38.89,47.06,0.480682,1.0,False
prompt_adherence,Phi-3.5-mini,Qwen2.5-7B,34,6,11,17,17,35.29,64.71,50.0,0.332306,1.0,False
prompt_adherence,Qwen2.5-3B,Qwen2.5-7B,34,7,10,17,17,41.18,58.82,50.0,0.629059,1.0,False
spelling_consistency,HingGPT,Phi-3.5-mini,34,9,15,10,24,37.5,62.5,29.41,0.307456,1.0,False
spelling_consistency,HingGPT,Qwen2.5-3B,34,14,9,11,23,60.87,39.13,32.35,0.404873,1.0,False
spelling_consistency,HingGPT,Qwen2.5-7B,34,9,14,11,23,39.13,60.87,32.35,0.404873,1.0,False
spelling_consistency,Phi-3.5-mini,Qwen2.5-3B,34,13,10,11,23,56.52,43.48,32.35,0.677639,1.0,False
spelling_consistency,Phi-3.5-mini,Qwen2.5-7B,34,12,13,9,25,48.0,52.0,26.47,1.0,1.0,False
spelling_consistency,Qwen2.5-3B,Qwen2.5-7B,34,14,14,6,28,50.0,50.0,17.65,1.0,1.0,False
overall,HingGPT,Phi-3.5-mini,34,19,8,7,27,70.37,29.63,20.59,0.052239,1.0,False
overall,HingGPT,Qwen2.5-3B,34,17,8,9,25,68.0,32.0,26.47,0.107752,1.0,False
overall,HingGPT,Qwen2.5-7B,34,16,13,5,29,55.17,44.83,14.71,0.711071,1.0,False
overall,Phi-3.5-mini,Qwen2.5-3B,34,13,17,4,30,43.33,56.67,11.76,0.584665,1.0,False
overall,Phi-3.5-mini,Qwen2.5-7B,34,16,14,4,30,53.33,46.67,11.76,0.855536,1.0,False
overall,Qwen2.5-3B,Qwen2.5-7B,34,12,12,10,24,50.0,50.0,29.41,1.0,1.0,False
