category,category_name,model_a,model_b,comparisons,model_a_wins,model_b_wins,ties,model_a_win_rate,model_b_win_rate
advice_opinion,Advice & Opinions,HingGPT,Phi-3.5-mini,5,0,5,0,0.0,1.0
advice_opinion,Advice & Opinions,HingGPT,Qwen2.5-3B,5,0,5,0,0.0,1.0
advice_opinion,Advice & Opinions,HingGPT,Qwen2.5-7B,5,1,4,0,0.2,0.8
advice_opinion,Advice & Opinions,Phi-3.5-mini,HingGPT,5,5,0,0,1.0,0.0
advice_opinion,Advice & Opinions,Phi-3.5-mini,Qwen2.5-3B,5,3,2,0,0.6,0.4
advice_opinion,Advice & Opinions,Phi-3.5-mini,Qwen2.5-7B,5,4,1,0,0.8,0.2
advice_opinion,Advice & Opinions,Qwen2.5-3B,HingGPT,5,5,0,0,1.0,0.0
advice_opinion,Advice & Opinions,Qwen2.5-3B,Phi-3.5-mini,5,3,2,0,0.6,0.4
advice_opinion,Advice & Opinions,Qwen2.5-3B,Qwen2.5-7B,5,3,2,0,0.6,0.4
advice_opinion,Advice & Opinions,Qwen2.5-7B,HingGPT,5,5,0,0,1.0,0.0
advice_opinion,Advice & Opinions,Qwen2.5-7B,Phi-3.5-mini,5,5,0,0,1.0,0.0
advice_opinion,Advice & Opinions,Qwen2.5-7B,Qwen2.5-3B,5,4,1,0,0.8,0.2
captions_quips,Captions & One-liners,HingGPT,Phi-3.5-mini,4,0,4,0,0.0,1.0
captions_quips,Captions & One-liners,HingGPT,Qwen2.5-3B,4,2,2,0,0.5,0.5
captions_quips,Captions & One-liners,HingGPT,Qwen2.5-7B,4,1,3,0,0.25,0.75
captions_quips,Captions & One-liners,Phi-3.5-mini,HingGPT,4,4,0,0,1.0,0.0
captions_quips,Captions & One-liners,Phi-3.5-mini,Qwen2.5-3B,4,4,0,0,1.0,0.0
captions_quips,Captions & One-liners,Phi-3.5-mini,Qwen2.5-7B,4,4,0,0,1.0,0.0
captions_quips,Captions & One-liners,Qwen2.5-3B,HingGPT,4,4,0,0,1.0,0.0
captions_quips,Captions & One-liners,Qwen2.5-3B,Phi-3.5-mini,4,1,3,0,0.25,0.75
