text,hindi_tokens,english_tokens,other_tokens,total_tokens,hindi_ratio,english_ratio,cmi,switches,is_code_mixed
"ecosystem and new pecking order in full display. tukde-tukde tweters, 'scriptual', 'comical', 'communist', 'acting-activist' at disposal of mamta didi, queen incarnate. the irrelevance of congress (kaun-gress?) is so very apparent. khela hobe.",13,22,0,35,0.37142857142857144,0.6285714285714286,37.142857142857146,12,True
Bhai matalab love 😘😘😘😘 ye vala,4,1,0,5,0.8,0.2,19.999999999999996,2,True
mujhe to always khushi hota ha agar koe v fans ko reply mile q ki sabka pyar to ek ha na hrithik. kaise log pagal ha kya,22,5,0,27,0.8148148148148148,0.18518518518518517,18.518518518518523,8,True
just like there players n public bhi ek match jeet gaye hawa main udd gaya chalo inke,10,7,0,17,0.5882352941176471,0.4117647058823529,41.17647058823529,3,True
"Bhouk, bhouk, aur jor jor se bhouk, Kutte logo ka kaam hi hota hai khali na wo vi gawar ki tarah 👎😊",19,2,0,21,0.9047619047619048,0.09523809523809523,9.523809523809524,4,True
🙂 maturity is when you realize ap paisay sa apne ko wapis duniya ma nahi la skte,10,6,0,16,0.625,0.375,37.5,3,True
"desis the type to go there in a group, fir wana pe ek insaan ko khada krdenge, fir jab unka chance aane wala hoga tab beech me se join 😭😭",16,13,0,29,0.5517241379310345,0.4482758620689655,44.827586206896555,8,True
are badi fiqar mand hai abtak kha thi ek bhi tweet nhi howa jab deli badta tha aur ha 50 kar 5 kam kardo ketna acha hai,23,2,0,25,0.92,0.08,7.9999999999999964,3,True
Sabki nahi lagti beta.. apni tagline banao ki yahan vipaksh ki class lagayi jati hai aur modi ki chaati jati hai,18,3,0,21,0.8571428571428571,0.14285714285714285,14.28571428571429,6,True
Miraj will always be my captain,1,5,0,6,0.16666666666666666,0.8333333333333334,16.666666666666664,1,True
Inlogo ka kuch kam nh h. Kuch bi hota toh gali end of the kohli ko dena hi rehta .. agar Ashwin ko khilaya hota toh bolte mystery spinner leke gye usko khilaya hi nh .. jinko troll hi krna hota usse koi nh jit skta vo troll krte hi rhenge,38,11,0,49,0.7755102040816326,0.22448979591836735,22.44897959183674,14,True
"Dr Allin-Khan says mask wearing should never have been abandoned in the first place, Whilst Labour members attended the conference not wearing masks 🙄🤦🏻♂️",0,24,0,24,0.0,1.0,0.0,0,False
hai kaun o,2,1,0,3,0.6666666666666666,0.3333333333333333,33.333333333333336,1,True
Ager dekhte bhi tab bhi safe e hota,6,2,0,8,0.75,0.25,25.0,2,True
"Tum kuchh deserve nahin karte, kyunki tumhe apni maryada ka hi gyan nahin hai. Aise baat karte hain ek stree ke liye, chahe wo koi bhi ho.",23,4,0,27,0.8518518518518519,0.14814814814814814,14.814814814814813,7,True
mere life ke l lag chuke hai already hasna hai ya rona hai rona to hai par kaise koi chahiye jiske saamne aur judge na kare cringe hai pta hai phir bhi,26,6,0,32,0.8125,0.1875,18.75,12,True
kl rahul england ke khilaf hamesha itana achchha perform kaise kar paate hai?,10,3,0,13,0.7692307692307693,0.23076923076923078,23.076923076923073,5,True
dp badi pyaari h 😍,2,2,0,4,0.5,0.5,50.0,2,True
"Chutiya... Using Twitter? As per sharia law you should be punish. Twitter is made by kufer? There is no video in past 1400 years. Why you pray for Alha? Chutiya tell me why all Muslim want to go UK, US Canada instead of going Saudi?",3,41,0,44,0.06818181818181818,0.9318181818181818,6.818181818181824,5,True
Seriously pura saal ma ny aasmaan ma itni nhi dekhi. Aaj kuch to baat hai,13,2,0,15,0.8666666666666667,0.13333333333333333,13.33333333333333,3,True
"na bhai kisanon ko bhi khet hota hai transportation kharcha lagta hai, pata nhi ye kaun se kisan hai jinhe petrol / affect nhi karta",20,4,0,24,0.8333333333333334,0.16666666666666666,16.666666666666664,6,True
Kaya to Laban lang,2,2,0,4,0.5,0.5,50.0,2,True
Sahi facts bol rahi hai. Yeh hota hai speaking the truth. She has understood teja's behavior so well now. She has observed her pattern of instigating fights. Jaise kal usne aag lagayi devo aur nishant ke beech. Asli vamp toh teja hi hai. 👏👏,17,27,0,44,0.38636363636363635,0.6136363636363636,38.63636363636363,13,True
lagta hai adult movies se inspire ho gaya,5,3,0,8,0.625,0.375,37.5,4,True
PM Desh k hai ya state k.... CM accha kaam nahi karte shayed es liye he Desh K PM ko sare kaam kar CM k liye prachar krna pdta hai... Accha hai retirement k baad bhi job 😆,30,7,0,37,0.8108108108108109,0.1891891891891892,18.918918918918916,12,True
"We love zakir and khan, not the one who hurts our sentiments",1,11,0,12,0.08333333333333333,0.9166666666666666,8.333333333333337,2,True
1/18 © R32 GT-R © © 1992 1000km 1 ® ©,0,3,0,3,0.0,1.0,0.0,0,False
Aisi character ko kaun like karta hai?!,5,2,0,7,0.7142857142857143,0.2857142857142857,28.57142857142857,4,True
! jisne 2021 me 12 mahine bas kro! phir bhi nhi pta chla ye sal kese nikal gya...,15,0,0,15,1.0,0.0,0.0,0,False
kudi ha kal dekhungi aaj thora work bhi hay,7,2,0,9,0.7777777777777778,0.2222222222222222,22.22222222222222,3,True
pr trend to thik h ... but kp k bodyguard ne jo bola uske baare me kuch bol 🤣 ab bol.... ab bol na........... .,17,5,0,22,0.7727272727272727,0.22727272727272727,22.72727272727273,5,True
lol she's an adult (at least according to her lies.... ehem i mean truth lol),4,12,0,16,0.25,0.75,25.0,4,True
"No one can see anything like that. Get off your high horse, depressed people. Lay down and read a boring SEP article until you pass out. (Keep a list of boring ones handy.) Someone loves you and it's not up to you whether they're right or wrong.",2,47,0,49,0.04081632653061224,0.9591836734693877,4.081632653061229,4,True
Unleash the mech beast 💪💪💪,1,3,0,4,0.25,0.75,25.0,2,True
