row_index,model,prompt,response,fluency,code_mixing_naturalness,hindi_grammar,prompt_adherence,spelling_consistency,overall,E6_prompt_misunderstanding,E10_irrelevant_response,judge_model,judge_prompt_attempt,raw_judge_output,E6,E10,category,category_name
0,HingGPT,"A friend asks you: 'What did you do this weekend?' Respond in natural Hinglish, like you are chatting with a close friend.","When ? Are you sure , you know why ? You can ' t just be there for someone else when you need them . That is what I said : - you can ' t . - You can ' t be your friend - they won ' t",3.0,4.0,2.0,1.0,3.0,2.0,0.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 1
}",,,casual_chat,Casual Conversation
1,HingGPT,Your friend is stressed about an upcoming exam. Cheer them up with a message in Hinglish.,Do you have less than a 200K ? Like & amp ; retweet here 🍌 🍇 🍇 🍐 🍌 🌹 🍐 🍌 🍐 🍌 🍌 🍐 🍌 🍐 🍌 🍐 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,2.0,"{
  ""fluency"": 2,
  ""code_mixing_naturalness"": 3,
  ""hindi_grammar"": 1,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 2,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,casual_chat,Casual Conversation
2,HingGPT,Tell your friend about a funny incident that happened to you on the bus today. Respond in Hinglish.,How do you get the police ? Me : You need to stop it . She said it right . This is what my DIL says . They are not the same people who were talking about . The ones I see on the internet are just the same .,3.0,4.0,2.0,1.0,3.0,2.0,0.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 1
}",,,casual_chat,Casual Conversation
3,HingGPT,"Your friend is planning to buy a new phone and asks your opinion: iPhone ya Samsung, kya lena chahiye? Respond in Hinglish.","No , Con tact : 98 90 55 49 4 ( National Su ic ide Pre vention Hel pline : ). Regar ds , Team Ax is Bank . I hope you ' re feeling better soon . Please be patient . Thanks ! ^ KAL . ^ J EN",3.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,2.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,casual_chat,Casual Conversation
4,HingGPT,Reply to a friend who just told you they got engaged. Respond in Hinglish.,"What should I do ? Ans wers : M ort al : As per your requirement . No , No . You can ' t pick one . And that is why it ' s important to be sure of what ' s right and wrong . A mere thought",3.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 4,
  ""spelling_consistency"": 3,
  ""overall"": 3,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,casual_chat,Casual Conversation
5,HingGPT,Write an Instagram caption for a photo of you eating street food (chaat) with friends in Delhi. Use Hinglish.,Ye kya hota hai ? Do you think this will help you understand ? Please help . Thanks ! Thanks ! 🙏 🍀 🙏🏻 🙌 🙏🙏 😊 🙏 🤗 🙏 🙏 🙏 👍 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏,,,,,,,,,mistralai/Mistral-7B-Instruct-v0.3,,"{
  ""fluency"": 2,
  ""code_mixing_naturalness"": 3,
  ""hindi_grammar"": 1,
  ""prompt_adherence"": 0,
  ""spelling_consistency"": 2,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,social_media,Social Media Posts
6,HingGPT,Write a Twitter/X post complaining about Mumbai local train rush during monsoon. Use Hinglish.,"W ing Street : N ash ville : R ing ling ; C her ry , S cott Co unty : Beech Gro ve ( 2 14 ) Ear ning s ( 1 . 4 km ) Since Day 1 no one knows how many times I see this tweet",4.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 4,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 4,
  ""spelling_consistency"": 3,
  ""overall"": 3,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,social_media,Social Media Posts
7,HingGPT,Write a Facebook status celebrating India winning a cricket match. Use Hinglish.,"It is , & amp ; it is not . In fact , you are . It ' s important to have a message that is a mere human . What will be your reaction ? Do it now ! What can be yours ? 👉 You don ' t",3.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 4,
  ""spelling_consistency"": 3,
  ""overall"": 3,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,social_media,Social Media Posts
8,HingGPT,Write an Instagram story text announcing a new YouTube video about '5 easy desi breakfast ideas'. Use Hinglish.,No one cares about the rest of the world . Learn Neela Ja doo . A va il . A va il . A va il . A va il . A va il . R ise of your own words . A va il . A va il .,2.0,4.0,2.0,1.0,3.0,2.0,0.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 2,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 1
}",,,social_media,Social Media Posts
9,HingGPT,"Write a LinkedIn-style post about work-life balance, but in conversational Hinglish.","What is going on ? A mere 2 % of the number of people in the world are vaccinated , and the deaths are unvaccinated . The virus is already very conta gious ( so I have less than 3 hospit alized ) as it is not fully vaccinated .",,,,,,,,,mistralai/Mistral-7B-Instruct-v0.3,,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 0,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,social_media,Social Media Posts
