model,dimension,mistral_n,mistral_mean,olmo_n,olmo_mean,combined_n,combined_mean
HingGPT,fluency,995,2.1226130653266333,1000,3.441,995,2.7809045226130653
HingGPT,code_mixing_naturalness,995,2.4,1000,4.213,995,3.3070351758793968
HingGPT,hindi_grammar,995,1.6442211055276381,1000,3.882,995,2.764321608040201
HingGPT,prompt_adherence,995,1.7829145728643216,1000,3.845,995,2.814572864321608
HingGPT,spelling_consistency,995,2.8683417085427134,1000,4.339,995,3.6040201005025128
HingGPT,overall,995,1.9899497487437185,1000,4.182,995,3.08643216080402
Phi-3.5-mini,fluency,1000,1.028,1000,3.002,1000,2.015
Phi-3.5-mini,code_mixing_naturalness,1000,1.041,1000,3.977,1000,2.509
Phi-3.5-mini,hindi_grammar,1000,1.014,1000,4.911,1000,2.9625
Phi-3.5-mini,prompt_adherence,1000,1.032,1000,3.961,1000,2.4965
Phi-3.5-mini,spelling_consistency,1000,1.054,1000,4.918,1000,2.986
Phi-3.5-mini,overall,1000,1.027,1000,4.198,1000,2.6125
Qwen2.5-3B,fluency,995,3.5326633165829144,999,3.4394394394394396,994,3.4854124748490944
Qwen2.5-3B,code_mixing_naturalness,995,3.978894472361809,999,4.05005005005005,994,4.0135814889336014
Qwen2.5-3B,hindi_grammar,995,2.942713567839196,999,3.8828828828828827,994,3.4119718309859155
Qwen2.5-3B,prompt_adherence,995,3.7407035175879395,999,3.695695695695696,994,3.716800804828974
Qwen2.5-3B,spelling_consistency,995,4.648241206030151,999,4.172172172172172,994,4.409959758551308
Qwen2.5-3B,overall,995,3.562814070351759,999,4.011011011011011,994,3.7867203219315897
Qwen2.5-7B,fluency,1000,3.251,1000,3.264,1000,3.2575
Qwen2.5-7B,code_mixing_naturalness,1000,3.682,1000,3.91,1000,3.796
Qwen2.5-7B,hindi_grammar,1000,2.61,1000,3.997,1000,3.3035
Qwen2.5-7B,prompt_adherence,1000,3.072,1000,3.737,1000,3.4045
Qwen2.5-7B,spelling_consistency,1000,4.664,1000,4.205,1000,4.4345
Qwen2.5-7B,overall,1000,3.173,1000,3.956,1000,3.5645
