criterion,model_a,model_b,N,wilcoxon_statistic,raw_p,holm_adjusted_p,significant_alpha_0.05
fluency,HingGPT,Phi-3.5-mini,34,68.0,0.2483212020329344,0.4966424040658688,False
fluency,HingGPT,Qwen2.5-3B,34,30.0,0.000492404286165,0.0022343709404382,True
fluency,HingGPT,Qwen2.5-7B,34,13.0,6.770308073130928e-05,0.0004062184843878,True
fluency,Phi-3.5-mini,Qwen2.5-3B,34,30.0,0.0014716593954646,0.0044149781863938,True
fluency,Phi-3.5-mini,Qwen2.5-7B,34,16.0,0.0004468741880876,0.0022343709404382,True
fluency,Qwen2.5-3B,Qwen2.5-7B,34,150.5,0.7438570245194891,0.7438570245194891,False
code_mixing_naturalness,HingGPT,Phi-3.5-mini,34,60.0,0.1345255075435559,0.2690510150871118,False
code_mixing_naturalness,HingGPT,Qwen2.5-3B,34,24.5,0.0001451495455381,0.0005805981821525,True
code_mixing_naturalness,HingGPT,Qwen2.5-7B,34,0.0,1.3493733270227875e-05,8.096239962136725e-05,True
code_mixing_naturalness,Phi-3.5-mini,Qwen2.5-3B,34,27.0,0.0018044059916144,0.0054132179748433,True
code_mixing_naturalness,Phi-3.5-mini,Qwen2.5-7B,34,14.0,4.548618443492331e-05,0.0002274309221746,True
code_mixing_naturalness,Qwen2.5-3B,Qwen2.5-7B,34,152.0,0.3669483798913276,0.3669483798913276,False
hindi_grammar,HingGPT,Phi-3.5-mini,34,58.5,0.2066488311330031,0.4132976622660063,False
hindi_grammar,HingGPT,Qwen2.5-3B,34,27.0,0.0006473762277479,0.0025895049109919,True
hindi_grammar,HingGPT,Qwen2.5-7B,34,6.5,1.1687842731155584e-05,7.012705638693351e-05,True
hindi_grammar,Phi-3.5-mini,Qwen2.5-3B,34,27.0,0.0010588012995799,0.0031764038987399,True
hindi_grammar,Phi-3.5-mini,Qwen2.5-7B,34,20.0,0.0002662301441302,0.0013311507206511,True
hindi_grammar,Qwen2.5-3B,Qwen2.5-7B,34,170.5,0.8972193209068234,0.8972193209068234,False
prompt_adherence,HingGPT,Phi-3.5-mini,34,32.0,0.0001116568257329,0.0005582841286649,True
prompt_adherence,HingGPT,Qwen2.5-3B,34,26.0,0.0002157303487315,0.000862921394926,True
prompt_adherence,HingGPT,Qwen2.5-7B,34,0.0,6.202833338029618e-06,3.721700002817771e-05,True
prompt_adherence,Phi-3.5-mini,Qwen2.5-3B,34,102.5,0.056848501143023,0.113697002286046,False
prompt_adherence,Phi-3.5-mini,Qwen2.5-7B,34,126.5,0.0127208978731547,0.0381626936194643,True
prompt_adherence,Qwen2.5-3B,Qwen2.5-7B,34,185.5,0.68500061099411,0.68500061099411,False
spelling_consistency,HingGPT,Phi-3.5-mini,34,50.5,0.1016289902695897,0.2032579805391795,False
spelling_consistency,HingGPT,Qwen2.5-3B,34,28.5,0.0004260403619985,0.001704161447994,True
spelling_consistency,HingGPT,Qwen2.5-7B,34,4.5,2.4933627816022036e-05,0.0001496017668961,True
spelling_consistency,Phi-3.5-mini,Qwen2.5-3B,34,42.0,0.0015908591709305,0.0047725775127917,True
spelling_consistency,Phi-3.5-mini,Qwen2.5-7B,34,19.0,0.0001449904524665,0.0007249522623326,True
spelling_consistency,Qwen2.5-3B,Qwen2.5-7B,34,140.5,0.547357640523072,0.547357640523072,False
overall,HingGPT,Phi-3.5-mini,34,35.0,0.0119293817261937,0.047717526904775,True
overall,HingGPT,Qwen2.5-3B,34,81.0,0.0079980032981484,0.0399900164907423,True
overall,HingGPT,Qwen2.5-7B,34,30.0,0.0008556255322005,0.0051337531932033,True
overall,Phi-3.5-mini,Qwen2.5-3B,34,116.5,0.1256142106116216,0.2512284212232433,False
overall,Phi-3.5-mini,Qwen2.5-7B,34,90.0,0.0474345803707253,0.142303741112176,False
overall,Qwen2.5-3B,Qwen2.5-7B,34,185.0,0.6793355034185704,0.6793355034185704,False
