model,error,count,total_responses,percentage
HingGPT,E1_English_dominant,6,1000,0.6
HingGPT,E2_Hindi_dominant,53,1000,5.3
HingGPT,E3_Unnatural_code_switching,9,1000,0.9
HingGPT,E4_Grammatical_error,98,1000,9.8
HingGPT,E5_Repetition,36,1000,3.6
HingGPT,E6_Prompt_misunderstanding,156,1000,15.6
HingGPT,E7_Incomplete_response,163,1000,16.3
HingGPT,E8_Spelling_transliteration_error,2,1000,0.2
HingGPT,E9_Hallucination_factual_error,0,1000,0.0
HingGPT,E10_Irrelevant_response,135,1000,13.5
Phi-3.5-mini,E1_English_dominant,6,1000,0.6
Phi-3.5-mini,E2_Hindi_dominant,264,1000,26.4
Phi-3.5-mini,E3_Unnatural_code_switching,1,1000,0.1
Phi-3.5-mini,E4_Grammatical_error,73,1000,7.3
Phi-3.5-mini,E5_Repetition,117,1000,11.7
Phi-3.5-mini,E6_Prompt_misunderstanding,351,1000,35.1
Phi-3.5-mini,E7_Incomplete_response,275,1000,27.5
Phi-3.5-mini,E8_Spelling_transliteration_error,678,1000,67.8
Phi-3.5-mini,E9_Hallucination_factual_error,0,1000,0.0
Phi-3.5-mini,E10_Irrelevant_response,236,1000,23.6
Qwen2.5-3B,E1_English_dominant,19,1000,1.9
Qwen2.5-3B,E2_Hindi_dominant,180,1000,18.0
Qwen2.5-3B,E3_Unnatural_code_switching,10,1000,1.0
Qwen2.5-3B,E4_Grammatical_error,68,1000,6.8
Qwen2.5-3B,E5_Repetition,41,1000,4.1
Qwen2.5-3B,E6_Prompt_misunderstanding,215,1000,21.5
Qwen2.5-3B,E7_Incomplete_response,106,1000,10.6
Qwen2.5-3B,E8_Spelling_transliteration_error,114,1000,11.4
Qwen2.5-3B,E9_Hallucination_factual_error,0,1000,0.0
Qwen2.5-3B,E10_Irrelevant_response,91,1000,9.1
Qwen2.5-7B,E1_English_dominant,30,1000,3.0
Qwen2.5-7B,E2_Hindi_dominant,151,1000,15.1
Qwen2.5-7B,E3_Unnatural_code_switching,6,1000,0.6
Qwen2.5-7B,E4_Grammatical_error,45,1000,4.5
Qwen2.5-7B,E5_Repetition,48,1000,4.8
Qwen2.5-7B,E6_Prompt_misunderstanding,323,1000,32.3
Qwen2.5-7B,E7_Incomplete_response,135,1000,13.5
Qwen2.5-7B,E8_Spelling_transliteration_error,71,1000,7.1
Qwen2.5-7B,E9_Hallucination_factual_error,0,1000,0.0
Qwen2.5-7B,E10_Irrelevant_response,23,1000,2.3
