model,dimension,n,original_mean,perturbed_mean,mean_absolute_change,signed_mean_change
HingGPT,fluency,994,2.12374245472837,2.2987927565392354,0.6680080482897385,0.1750503018108652
HingGPT,code_mixing_naturalness,994,2.4014084507042255,2.7253521126760565,0.8993963782696177,0.323943661971831
HingGPT,hindi_grammar,994,1.6448692152917506,1.659959758551308,0.33702213279678067,0.015090543259557344
HingGPT,prompt_adherence,994,1.783702213279678,2.1378269617706236,0.6458752515090543,0.35412474849094566
HingGPT,spelling_consistency,994,2.8661971830985915,2.4346076458752517,0.8460764587525151,-0.43158953722334004
HingGPT,overall,994,1.9909456740442657,2.204225352112676,0.6096579476861167,0.21327967806841047
Phi-3.5-mini,fluency,999,1.028028028028028,2.93993993993994,1.911911911911912,1.911911911911912
Phi-3.5-mini,code_mixing_naturalness,999,1.0410410410410411,3.4824824824824825,2.4454454454454453,2.4414414414414414
Phi-3.5-mini,hindi_grammar,999,1.014014014014014,2.5805805805805804,1.5665665665665667,1.5665665665665667
Phi-3.5-mini,prompt_adherence,999,1.032032032032032,3.4214214214214214,2.3893893893893896,2.3893893893893896
Phi-3.5-mini,spelling_consistency,999,1.054054054054054,3.2262262262262262,2.1721721721721723,2.1721721721721723
Phi-3.5-mini,overall,999,1.027027027027027,3.0,1.972972972972973,1.972972972972973
Qwen2.5-3B,fluency,991,3.5317860746720484,3.3299697275479314,0.4803229061553986,-0.20181634712411706
Qwen2.5-3B,code_mixing_naturalness,991,3.9767911200807267,3.5196770938446016,0.6730575176589304,-0.4571140262361251
Qwen2.5-3B,hindi_grammar,991,2.9404641775983853,2.684157416750757,0.6316851664984864,-0.25630676084762866
Qwen2.5-3B,prompt_adherence,991,3.74167507568113,3.5015136226034307,0.5691220988900101,-0.2401614530776993
Qwen2.5-3B,spelling_consistency,991,4.646821392532795,4.1009081735620585,0.6811301715438951,-0.5459132189707366
Qwen2.5-3B,overall,991,3.562058526740666,3.3057517658930373,0.5650857719475277,-0.25630676084762866
Qwen2.5-7B,fluency,995,3.2462311557788945,3.080402010050251,0.5919597989949749,-0.1658291457286432
Qwen2.5-7B,code_mixing_naturalness,995,3.677386934673367,2.9899497487437188,0.8984924623115578,-0.6874371859296482
Qwen2.5-7B,hindi_grammar,995,2.6060301507537686,2.2542713567839194,0.6733668341708543,-0.35175879396984927
Qwen2.5-7B,prompt_adherence,995,3.0623115577889446,2.865326633165829,0.528643216080402,-0.19698492462311556
Qwen2.5-7B,spelling_consistency,995,4.662311557788945,3.9839195979899498,0.8090452261306532,-0.678391959798995
Qwen2.5-7B,overall,995,3.1678391959798997,2.906532663316583,0.6110552763819096,-0.2613065326633166
