model,error_code,error_category,number_of_errors,total_responses,responses_affected_percent
HingGPT,E1,English-dominant output,27,34,79.41
HingGPT,E2,Hindi-dominant output,0,34,0.0
HingGPT,E3,Unnatural code-switching,28,34,82.35
HingGPT,E4,Grammatical error,27,34,79.41
HingGPT,E5,Repetition,25,34,73.53
HingGPT,E6,Prompt misunderstanding,34,34,100.0
HingGPT,E7,Incomplete response,3,34,8.82
HingGPT,E8,Spelling/transliteration error,7,34,20.59
HingGPT,E9,Hallucination/factual error,0,34,0.0
HingGPT,E10,Irrelevant response,34,34,100.0
Phi-3.5-mini,E1,English-dominant output,27,34,79.41
Phi-3.5-mini,E2,Hindi-dominant output,7,34,20.59
Phi-3.5-mini,E3,Unnatural code-switching,25,34,73.53
Phi-3.5-mini,E4,Grammatical error,24,34,70.59
Phi-3.5-mini,E5,Repetition,0,34,0.0
Phi-3.5-mini,E6,Prompt misunderstanding,34,34,100.0
Phi-3.5-mini,E7,Incomplete response,7,34,20.59
Phi-3.5-mini,E8,Spelling/transliteration error,1,34,2.94
Phi-3.5-mini,E9,Hallucination/factual error,1,34,2.94
Phi-3.5-mini,E10,Irrelevant response,33,34,97.06
Qwen2.5-3B,E1,English-dominant output,20,34,58.82
Qwen2.5-3B,E2,Hindi-dominant output,5,34,14.71
Qwen2.5-3B,E3,Unnatural code-switching,7,34,20.59
Qwen2.5-3B,E4,Grammatical error,7,34,20.59
Qwen2.5-3B,E5,Repetition,21,34,61.76
Qwen2.5-3B,E6,Prompt misunderstanding,29,34,85.29
Qwen2.5-3B,E7,Incomplete response,10,34,29.41
Qwen2.5-3B,E8,Spelling/transliteration error,0,34,0.0
Qwen2.5-3B,E9,Hallucination/factual error,1,34,2.94
Qwen2.5-3B,E10,Irrelevant response,25,34,73.53
Qwen2.5-7B,E1,English-dominant output,19,34,55.88
Qwen2.5-7B,E2,Hindi-dominant output,6,34,17.65
Qwen2.5-7B,E3,Unnatural code-switching,13,34,38.24
Qwen2.5-7B,E4,Grammatical error,11,34,32.35
Qwen2.5-7B,E5,Repetition,20,34,58.82
Qwen2.5-7B,E6,Prompt misunderstanding,32,34,94.12
Qwen2.5-7B,E7,Incomplete response,13,34,38.24
Qwen2.5-7B,E8,Spelling/transliteration error,0,34,0.0
Qwen2.5-7B,E9,Hallucination/factual error,0,34,0.0
Qwen2.5-7B,E10,Irrelevant response,26,34,76.47
