criterion,model_a,model_b,N,wilcoxon_statistic,raw_p,holm_adjusted_p,significant_alpha_0.05
fluency,HingGPT,Phi-3.5-mini,34,68.0,0.2483212020329344,0.4966424040658688,False
fluency,HingGPT,Qwen2.5-3B,34,30.0,0.0004924042861650965,0.0022343709404382566,True
fluency,HingGPT,Qwen2.5-7B,34,13.0,6.770308073130928e-05,0.00040621848438785564,True
fluency,Phi-3.5-mini,Qwen2.5-3B,34,30.0,0.0014716593954646206,0.004414978186393862,True
fluency,Phi-3.5-mini,Qwen2.5-7B,34,16.0,0.0004468741880876513,0.0022343709404382566,True
fluency,Qwen2.5-3B,Qwen2.5-7B,34,150.5,0.7438570245194891,0.7438570245194891,False
code_mixing_naturalness,HingGPT,Phi-3.5-mini,34,60.0,0.1345255075435559,0.2690510150871118,False
code_mixing_naturalness,HingGPT,Qwen2.5-3B,34,24.5,0.00014514954553813817,0.0005805981821525527,True
code_mixing_naturalness,HingGPT,Qwen2.5-7B,34,0.0,1.3493733270227875e-05,8.096239962136725e-05,True
code_mixing_naturalness,Phi-3.5-mini,Qwen2.5-3B,34,27.0,0.0018044059916144366,0.00541321797484331,True
code_mixing_naturalness,Phi-3.5-mini,Qwen2.5-7B,34,14.0,4.548618443492331e-05,0.00022743092217461654,True
code_mixing_naturalness,Qwen2.5-3B,Qwen2.5-7B,34,152.0,0.36694837989132767,0.36694837989132767,False
hindi_grammar,HingGPT,Phi-3.5-mini,34,58.5,0.20664883113300314,0.4132976622660063,False
hindi_grammar,HingGPT,Qwen2.5-3B,34,27.0,0.0006473762277479918,0.002589504910991967,True
hindi_grammar,HingGPT,Qwen2.5-7B,34,6.5,1.1687842731155584e-05,7.012705638693351e-05,True
hindi_grammar,Phi-3.5-mini,Qwen2.5-3B,34,27.0,0.0010588012995799982,0.0031764038987399947,True
hindi_grammar,Phi-3.5-mini,Qwen2.5-7B,34,20.0,0.00026623014413023385,0.0013311507206511693,True
hindi_grammar,Qwen2.5-3B,Qwen2.5-7B,34,170.5,0.8972193209068234,0.8972193209068234,False
prompt_adherence,HingGPT,Phi-3.5-mini,34,32.0,0.00011165682573298953,0.0005582841286649477,True
prompt_adherence,HingGPT,Qwen2.5-3B,34,26.0,0.00021573034873150214,0.0008629213949260086,True
prompt_adherence,HingGPT,Qwen2.5-7B,34,0.0,6.202833338029618e-06,3.721700002817771e-05,True
prompt_adherence,Phi-3.5-mini,Qwen2.5-3B,34,102.5,0.05684850114302304,0.11369700228604608,False
prompt_adherence,Phi-3.5-mini,Qwen2.5-7B,34,126.5,0.012720897873154799,0.038162693619464394,True
prompt_adherence,Qwen2.5-3B,Qwen2.5-7B,34,185.5,0.68500061099411,0.68500061099411,False
spelling_consistency,HingGPT,Phi-3.5-mini,34,50.5,0.10162899026958978,0.20325798053917957,False
spelling_consistency,HingGPT,Qwen2.5-3B,34,28.5,0.00042604036199850407,0.0017041614479940163,True
spelling_consistency,HingGPT,Qwen2.5-7B,34,4.5,2.4933627816022033e-05,0.0001496017668961322,True
spelling_consistency,Phi-3.5-mini,Qwen2.5-3B,34,42.0,0.0015908591709305703,0.004772577512791711,True
spelling_consistency,Phi-3.5-mini,Qwen2.5-7B,34,19.0,0.0001449904524665237,0.0007249522623326185,True
spelling_consistency,Qwen2.5-3B,Qwen2.5-7B,34,140.5,0.547357640523072,0.547357640523072,False
overall,HingGPT,Phi-3.5-mini,34,35.0,0.011929381726193766,0.047717526904775064,True
overall,HingGPT,Qwen2.5-3B,34,81.0,0.007998003298148459,0.0399900164907423,True
overall,HingGPT,Qwen2.5-7B,34,30.0,0.0008556255322005597,0.005133753193203358,True
overall,Phi-3.5-mini,Qwen2.5-3B,34,116.5,0.12561421061162167,0.25122842122324335,False
overall,Phi-3.5-mini,Qwen2.5-7B,34,90.0,0.04743458037072535,0.14230374111217606,False
overall,Qwen2.5-3B,Qwen2.5-7B,34,185.0,0.6793355034185704,0.6793355034185704,False
