sample_id,pair_model_1,pair_model_2,displayed_A_model,displayed_B_model,position_swapped,fluency,code_mixing_naturalness,hindi_grammar,prompt_adherence,spelling_consistency,overall
1,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,T,A,T,B,A,B
2,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,A,B,A,T,B,A
3,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,T,A,T,B,A,B
4,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,B,T,A,B,A,B
5,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,T,A,T,B,A,B
6,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,B,B,B,T,A,T
7,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,A,B,B,T,B,A
8,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,T,A,B,T,B,B
9,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,A,B,A,T,B,A
10,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,A,B,A,T,B,A
11,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,B,T,A,T,T,B
12,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,B,T,A,B,T,B
13,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,A,B,T,B,B,B
14,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,T,A,B,T,B,B
15,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,A,T,B,A,B,B
16,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,B,B,T,T,T,B
17,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,A,B,B,T,T,T
18,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,B,B,B,T,T,T
19,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,B,T,A,T,B,B
20,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,A,B,A,T,B,A
21,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,T,A,T,B,A,B
22,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,B,T,A,B,A,B
23,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,B,B,T,T,T,T
24,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,A,A,B,T,B,B
25,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,T,A,T,B,B,B
26,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,B,A,B,T,T,T
27,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,B,B,T,T,T,T
28,HingGPT,Phi-3.5-mini,HingGPT,Phi-3.5-mini,False,B,T,T,T,T,T
29,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,T,A,T,B,A,B
30,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,B,B,T,T,T,B
31,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,T,A,B,T,B,B
32,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,T,A,B,T,B,B
33,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,T,A,T,B,A,B
34,HingGPT,Phi-3.5-mini,Phi-3.5-mini,HingGPT,True,T,A,T,B,B,B
1,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,A,B,T,T,T,T
2,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,T,A,B,T,B,B
3,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,T,A,T,B,A,B
4,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,T,T,B,T,B,B
5,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,A,B,B,B,T,B
6,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,A,B,T,B,B,B
7,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,A,B,T,B,T,A
8,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,A,B,T,B,B,B
9,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,A,B,B,T,T,T
10,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,T,A,T,B,A,B
11,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,B,B,T,T,T,B
12,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,A,B,T,B,B,B
13,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,B,A,B,B,T,T
14,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,T,B,A,T,T,A
15,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,A,B,T,T,T,T
16,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,T,B,A,T,A,T
17,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,B,B,T,B,T,A
18,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,A,B,T,B,B,B
19,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,A,B,B,T,B,A
20,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,T,A,B,T,B,B
21,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,T,A,T,B,A,B
22,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,A,A,A,B,B,B
23,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,T,A,A,T,B,T
24,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,T,A,T,B,A,B
